Source: CPS Annual Social and Economic (March) Supplement 201503
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Previous residence,Recode-Region(Type of Move) recode","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
" -> Total","311761563","275622007","2104687","3985558","5157235","3851025","576835","1778615","414402","830001","1898043","5527595","1036089","2704644","260820","5202644","106987","68319","101800","0","534257",""
"Not Elsewhere Classified","277268617","275622007","100728","81216","254117","455015","79114","27504","19282","87018","19756","35840","42525","21948","0","333428","14323","0","0","0","74796",""
"Different County, Same State","6628142","0","420908","692713","1018512","950352","106033","414198","129424","202846","379750","619518","157591","347338","51323","964986","31160","16665","22262","0","102563",""
"Different State","5072161","0","184187","208894","883465","1716936","166195","115250","117722","251972","106485","201937","89805","168555","9504","664552","28545","40627","16845","0","100685",""
"Same County","22792643","0","1398864","3002735","3001141","728722","225493","1221663","147974","288165","1392052","4670300","746168","2166803","199993","3239678","32959","11027","62693","0","256213",""
