Source: CPS Annual Social and Economic (March) Supplement 201403
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Previous residence,Recode-Region(Type of Move) recode","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
" -> Total","310645143","276319076","1693716","3822542","4738884","3610282","900214","2419985","183524","816651","1886875","5306969","912652","3061516","372061","4052542","73426","14558","107600","5591","346479",""
"Not Elsewhere Classified","277419304","276319076","27430","68500","139783","360242","105626","15330","6701","70330","8651","45176","0","17185","0","214386","19223","0","0","0","1665",""
"Different County, Same State","6573896","0","315790","460946","1190397","845694","173864","814537","19664","111953","326357","432332","263885","558956","71723","762237","12665","0","19479","0","193417",""
"Different State","4399060","0","216408","214755","825788","1489017","291841","112628","41667","260508","45532","186930","45067","131470","11328","379623","41538","4846","27221","0","72893",""
"Same County","22252883","0","1134088","3078341","2582916","915329","328883","1477490","115492","373860","1506335","4642531","603700","2353905","289010","2696296","0","9712","60900","5591","78504",""
