Source: CPS Annual Social and Economic (March) Supplement 201603
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Previous residence,Recode-Region(Type of Move) recode","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
" -> Total","312869107","278052558","1642199","4281858","3649246","3785079","514016","2056613","230028","416951","2052078","6079571","1099475","2847779","298349","2337486","1121596","249938","614735","18099","1521453",""
"Not Elsewhere Classified","279322614","278052558","91851","42931","190722","395816","21810","34660","1644","93914","21866","37856","23135","18837","0","6060","156617","1497","13975","0","116865",""
"Different County, Same State","7419365","0","293464","794671","994169","1041485","175172","638679","70941","51768","476743","854772","216334","475197","52061","385481","288879","70324","131617","3534","404074",""
"Different State","4740073","0","142810","203017","826282","1674396","208158","150158","32612","134876","91973","185759","79161","199682","12826","128366","244527","115900","120198","0","189372",""
"Same County","21387055","0","1114074","3241239","1638073","673382","108876","1233116","124831","136393","1461496","5001184","780845","2154063","233462","1817579","431573","62217","348945","14565","811142",""
