Source: CPS Annual Social and Economic (March) Supplement 202103
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Previous residence,Recode-Region(Type of Move) recode","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
" -> Total","318435622","291766395","1250659","2853115","2448882","1065738","2377213","391893","1133088","224098","77017","2010153","4576927","1579143","2348734","123891","1523741","822001","196686","429504","79607","1157137"
"Not Elsewhere Classified","292373669","291766395","15162","13008","66221","29011","202017","31608","0","0","9916","5011","28400","18484","54708","0","0","18878","2117","1387","3737","107609"
"Different County, Same State","6176857","0","359670","659407","662675","280359","638347","106234","258386","37983","12244","414677","869157","394558","483214","31201","321346","242483","32354","49469","12651","310442"
"Different State","4295832","0","167920","254410","676573","138685","1137495","124911","80993","106602","25840","145625","165398","209095","270809","30456","117559","200316","112906","129196","26793","174250"
"Same County","15589264","0","707907","1926290","1043413","617683","399354","129140","793709","79513","29017","1444840","3513972","957006","1540003","62234","1084836","360324","49309","249452","36426","564836"
