Source: CPS Annual Social and Economic (March) Supplement 201803
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Previous residence,Recode-Region(Type of Move) recode","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
" -> Total","316757831","284746235","1414557","4076405","3504805","3335687","476516","1795901","340678","357258","2304563","5231234","851520","2539512","210085","2139394","896300","211213","568371","170090","1587507",""
"Not Elsewhere Classified","285902136","284746235","52404","79684","174040","283293","27412","29645","6407","69168","16723","36122","8684","9138","0","40818","158072","9533","13889","25914","114955",""
"Different County, Same State","6436169","0","308845","723107","802784","777008","113105","487459","60253","98600","373200","941044","127032","521653","41725","321358","185057","21436","111174","18381","402948",""
"Different State","4766129","0","161341","217934","904267","1521264","145778","176454","119117","93416","79970","220399","75584","243276","6668","146830","242735","137583","83325","10355","179833",""
"Same County","19653397","0","891967","3055680","1623714","754122","190221","1102343","154901","96074","1834670","4033669","640220","1765445","161692","1630388","310436","42661","359983","115440","889771",""
