Source: CPS Annual Social and Economic (March) Supplement 201903
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Previous residence,Recode-Region(Type of Move) recode","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
" -> Total","317302406","286288321","1543058","3562221","3211004","3742348","264394","1907990","300028","358715","1965527","5273962","925298","2086950","212940","2074981","798047","221126","726330","170299","1668867",""
"Not Elsewhere Classified","287411566","286288321","43008","39177","177707","257965","15214","35235","7897","46969","18769","19152","2755","13723","3192","21627","138387","24035","0","22284","236149",""
"Different County, Same State","6572031","0","409311","730014","737069","827886","72458","660579","82045","48456","424868","924372","199115","298761","27329","374073","175827","19752","191269","52210","316637",""
"Different State","4695492","0","131578","302670","665051","1824113","52597","139767","100779","90427","106207","213129","21748","177216","24969","101492","257467","159579","121163","3906","201634",""
"Same County","18623317","0","959161","2490360","1631177","832384","124125","1072409","109307","172863","1415683","4117309","701680","1597250","157450","1577789","226366","17760","413898","91899","914447",""
