Source: CPS Annual Social and Economic (March) Supplement 201703
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Previous residence,Recode-Region(Type of Move) recode","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
" -> Total","313369696","278936760","1749130","4003295","3858243","3415874","431014","1905884","281761","313037","2501305","5500356","977110","2864755","363141","2622528","1018932","183403","654945","88021","1700202",""
"Not Elsewhere Classified","280180404","278936760","43767","99734","231080","261223","60205","17851","34386","18965","10452","35709","8151","7944","0","47483","129968","5629","8011","0","223086",""
"Different County, Same State","6567489","0","277624","772628","843785","756584","107856","481319","51208","80543","383701","713352","164003","528311","80802","473382","308960","36804","158553","5361","342713",""
"Different State","5290935","0","261578","322461","814539","1852146","128454","139718","98876","113144","109308","254374","61860","187747","31301","180690","193345","117596","103039","4699","316060",""
"Same County","21330868","0","1166161","2808472","1968839","545921","134499","1266996","97291","100385","1997844","4496921","743096","2140753","251038","1920973","386659","23374","385342","77961","818343",""
