"year","move_type","job_related","house_related","job_related2","house_affordability"
2014,"Different County, Same State",22.0017931527971,31.9718778635987,4.64687911095643,11.6816572699051
2014,"Different State",17.0985619655108,18.0937745791146,13.5032484212536,5.53129532218247
2014,"Same County",17.0856962668612,47.5688565836615,3.67698423615493,24.8742646065231
2015,"Different County, Same State",18.5911979556262,32.7680970021463,6.61275814549537,12.4987062739452
2015,"Different State",14.936907562674,22.9270719127409,10.5652994847758,5.93920421690084
2015,"Same County",14.3701939261717,48.5064456982896,2.90283140924025,24.6415521008248
2016,"Different County, Same State",19.0488404331098,30.6323250035549,4.01491232740268,15.1383170931744
2016,"Different State",13.0330693219282,17.9389853278631,7.92489904691341,5.85953001145763
2016,"Same County",14.3297522730455,48.7150100843711,1.73048603465975,28.126785104354
2017,"Different County, Same State",16.8196246693371,34.5460799401415,3.64838068248002,14.5893963431077
2017,"Different State",11.1416980174582,17.1863196202562,6.43504408956073,6.56849876250606
2017,"Same County",16.8629565379149,46.5965098091648,1.55725027223459,25.742295156484
2018,"Different County, Same State",17.5976889357629,33.2164832837671,4.22546393669899,17.2431923400395
2018,"Different State",12.8979933191066,19.6279202682093,7.51786197981632,6.35003794483951
2018,"Same County",17.1889317658418,43.4624609679436,2.24488417956448,24.604301230978
2019,"Different County, Same State",19.6043810505459,30.4240348227207,3.08822341221458,17.510812106638
2019,"Different State",10.4307919170132,16.9528773555572,5.19227804029908,5.53394617646032
2019,"Same County",15.5417372748367,44.9857777752481,2.18164680330577,26.7215501943075
2020,"Different County, Same State",17.0506456600825,40.7027878417778,15.1325504216789,28.6075588280577
2020,"Different State",34.3551842809495,21.8570465511687,30.8459455583924,13.5441050767348
2020,"Same County",9.17768151209704,55.1847155837505,8.16315638762677,41.6877602432033
2021,"Different County, Same State",17.0506456600825,40.7027878417778,15.1325504216789,28.6075588280577
2021,"Different State",34.3551842809495,21.8570465511687,30.8459455583924,13.5441050767348
2021,"Same County",9.17768151209704,55.1847155837505,8.16315638762677,41.6877602432033
