Source: CPS Annual Social and Economic (March) Supplement 201803
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Previous residence,Recode-Region(Type of Move) recode (MIG_MTR4_RC1)","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
" -> Total","316757828","284746235","1414556","4076405","3504806","3335687","476515","1795900","340679","357255","2304562","5231234","851521","2539512","210087","2139395","896299","211213","568371","170090","1587506",""
" -> Total -> Total NonMSA to NonMSA","2890892","0","145961","553309","336656","137345","43028","167845","14395","11679","218389","463920","28565","199427","42583","257702","26824","25875","45555","3697","168137",""
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","499498","0","21570","66027","84645","34322","19078","45785","3316","6671","44495","42338","1123","35238","6381","23925","922","510","11309","0","51843",""
"Different State","218342","0","1823","19419","58666","33588","3536","12947","2227","634","3221","17472","1372","608","0","0","20009","21426","751","0","20643",""
"Same County","2173052","0","122568","467863","193345","69435","20414","109113","8852","4374","170673","404110","26070","163581","36202","233777","5893","3939","33495","3697","95651",""
" -> Total -> Total others","286165053","284746235","58976","136243","222477","340521","27412","29645","9157","69943","39108","53324","8684","20826","0","51301","170859","9533","20558","25914","124337",""
"Not Elsewhere Classified","285902136","284746235","52404","79684","174040","283293","27412","29645","6407","69168","16723","36122","8684","9138","0","40818","158072","9533","13889","25914","114955",""
"Different County, Same State","67372","0","4843","5688","19611","21655","0","0","0","775","3095","1080","0","0","0","0","3600","0","4668","0","2357",""
"Different State","38020","0","0","0","6185","22276","0","0","0","0","3898","0","0","0","0","0","5661","0","0","0","0",""
"Same County","157525","0","1729","50871","22641","13297","0","0","2750","0","15392","16122","0","11688","0","10483","3526","0","2001","0","7025",""
" -> Total -> Total MSA to MSA","25741027","0","1104186","3235305","2593298","2427623","353471","1519617","279991","246708","2033765","4541367","769895","2140886","161934","1740944","625974","147788","485424","136595","1196256",""
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","4813469","0","211136","541222","564095","490351","51806","384632","45565","70586","320171","787192","101699","386559","31497","257344","151704","20926","92732","18381","285871",""
"Different State","3604739","0","125380","157137","621475","1265882","131859","141755","91126","84423","64989","140738","54046","164151","4947","97471","173253","88140","68205","6471","123291",""
"Same County","17322819","0","767670","2536946","1407728","671390","169806","993230","143300","91699","1648605","3613437","614150","1590176","125490","1386129","301017","38722","324487","111743","787094",""
" -> Total -> Total MSA to NonMSA","920430","0","49447","81331","187119","216745","28179","19337","25358","11280","4426","59974","19352","121510","3848","17612","23407","7321","4728","1917","37539",""
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","495322","0","32602","51216","82772","112507","26236","16804","10498","6436","3188","29050","18604","71737","3848","10661","3693","0","0","0","15470",""
"Different State","425108","0","16845","30115","104347","104238","1943","2533","14860","4844","1238","30924","748","49773","0","6951","19714","7321","4728","1917","22069",""
"Same County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
" -> Total -> Total NonMSA to MSA","1040426","0","55986","70217","165256","213453","24425","59456","11778","17645","8874","112649","25025","56863","1722","71836","49235","20696","12106","1967","61237",""
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","560507","0","38693","58954","51662","118174","15985","40238","874","14131","2251","81384","5606","28119","0","29428","25137","0","2465","0","47406",""
"Different State","479919","0","17293","11263","113594","95279","8440","19218","10904","3514","6623","31265","19419","28744","1722","42408","24098","20696","9641","1967","13831",""
"Same County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
