Source: CPS Annual Social and Economic (March) Supplement 201903
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Previous residence,Recode-Region(Type of Move) recode (MIG_MTR4_RC1)","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
" -> Total","317302394","286288321","1543058","3562221","3211002","3742347","264395","1907990","300026","358714","1965525","5273961","925299","2086950","212940","2074979","798048","221126","726329","170299","1668864",""
" -> Total -> Total NonMSA to NonMSA","2555360","0","173725","361687","259741","211885","35337","137102","13326","2422","202639","428757","67807","239754","32241","192219","17276","0","69287","11373","98782",""
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","461028","0","52694","49463","46385","73767","14373","34226","3129","0","37598","32194","9255","14797","3052","42180","5692","0","17480","4624","20119",""
"Different State","189967","0","12325","29333","27124","48837","0","0","10197","0","1003","19337","0","16458","3448","11029","4124","0","3304","0","3448",""
"Same County","1904365","0","108706","282891","186232","89281","20964","102876","0","2422","164038","377226","58552","208499","25741","139010","7460","0","48503","6749","75215",""
" -> Total -> Total others","287689883","286288321","61021","73587","193207","274988","19977","39980","9545","50012","35549","74887","2755","40447","3192","44924","152222","27127","1603","22284","274255",""
"Not Elsewhere Classified","287411566","286288321","43008","39177","177707","257965","15214","35235","7897","46969","18769","19152","2755","13723","3192","21627","138387","24035","0","22284","236149",""
"Different County, Same State","36423","0","0","3293","4737","2724","3116","4745","0","0","0","0","0","4355","0","8708","1653","3092","0","0","0",""
"Different State","48562","0","1796","1360","7063","11024","1647","0","1648","0","0","0","0","0","0","0","4164","0","1603","0","18257",""
"Same County","193332","0","16217","29757","3700","3275","0","0","0","3043","16780","55735","0","22369","0","14589","8018","0","0","0","19849",""
" -> Total -> Total MSA to MSA","25021799","0","1202885","2953860","2502056","2811564","182511","1645188","210942","281316","1591150","4646309","831604","1726583","161106","1756062","529808","136711","568555","102012","1181577",""
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","4903391","0","292830","568583","553069","545485","43684","556724","32486","45865","310202","795277","170164","221560","19409","255179","116444","10910","126355","15660","223505",""
"Different State","3592792","0","75818","207565","507743","1526252","35665","118931","69149","68054","46083","166684","18311","138641","9988","76693","202476","108041","76806","1202","138690",""
"Same County","16525616","0","834237","2177712","1441244","739827","103162","969533","109307","167397","1234865","3684348","643129","1366382","131709","1424190","210888","17760","365394","85150","819382",""
" -> Total -> Total MSA to NonMSA","1069848","0","66197","77445","127107","181332","19601","26009","46548","699","81263","79778","12451","67450","10073","53114","38673","24216","51143","34630","72119",""
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","549176","0","38358","24019","59328","48236","7990","17918","28734","0","47391","59047","9014","46196","0","45167","15346","0","29893","31926","40613",""
"Different State","520672","0","27839","53426","67779","133096","11611","8091","17814","699","33872","20731","3437","21254","10073","7947","23327","24216","21250","2704","31506",""
"Same County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
" -> Total -> Total NonMSA to MSA","965504","0","39230","95642","128891","262578","6969","59711","19665","24265","54924","44230","10682","12716","6328","28660","60069","33072","35741","0","42131",""
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","622008","0","25429","84656","73550","157675","3295","46965","17695","2591","29676","37853","10682","11853","4868","22838","36692","5750","17541","0","32399",""
"Different State","343496","0","13801","10986","55341","104903","3674","12746","1970","21674","25248","6377","0","863","1460","5822","23377","27322","18200","0","9732",""
"Same County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
