Source: CPS Annual Social and Economic (March) Supplement 201703
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Previous residence,Recode-Region(Type of Move) recode (MIG_MTR4_RC1)","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
" -> Total","313369698","278936760","1749130","4003294","3858243","3415875","431016","1905886","281760","313037","2501304","5500356","977110","2864755","363143","2622528","1018932","183403","654944","88020","1700202",""
" -> Total -> Total NonMSA to NonMSA","3062953","0","162869","429180","411930","123830","36235","148730","9785","32956","212167","523682","107158","229743","62344","270526","41932","543","88809","9680","160854",""
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","501365","0","16232","78662","84587","51851","5395","34053","6513","20934","7133","28648","27393","21911","29055","23624","9628","0","16844","0","38902",""
"Different State","194781","0","36936","12370","41978","26711","3407","0","0","1690","1675","15971","3470","7172","0","16201","3814","0","8627","0","14759",""
"Same County","2366807","0","109701","338148","285365","45268","27433","114677","3272","10332","203359","479063","76295","200660","33289","230701","28490","543","63338","9680","107193",""
" -> Total -> Total others","280450638","278936760","60601","113078","274071","274082","67888","38182","35758","18965","43971","61785","8151","26518","3350","83773","134005","5629","9680","0","254391",""
"Not Elsewhere Classified","280180404","278936760","43767","99734","231080","261223","60205","17851","34386","18965","10452","35709","8151","7944","0","47483","129968","5629","8011","0","223086",""
"Different County, Same State","57994","0","5618","0","13941","4510","3460","1593","0","0","0","7306","0","0","0","16560","2184","0","0","0","2822",""
"Different State","43312","0","5415","0","2595","2574","4223","3459","1372","0","4676","0","0","0","0","1482","1853","0","0","0","15663",""
"Same County","168928","0","5801","13344","26455","5775","0","15279","0","0","28843","18770","0","18574","3350","18248","0","0","1669","0","12820",""
" -> Total -> Total MSA to MSA","27923335","0","1438716","3279868","2782222","2625871","284991","1642427","194769","239307","2166891","4793237","830734","2539266","282099","2200814","719961","151429","509101","78340","1163292",""
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","4929424","0","190755","591071","502080","574811","81574","395655","41415","45722","312702","582972","118133","451240","44476","404721","214183","21463","113521","5361","237569",""
"Different State","4198780","0","197302","231817","623123","1556182","96350","109731","59336","103532","88548","211177","45800","166507","23224","124069","147609","107135","75245","4699","227394",""
"Same County","18795131","0","1050659","2456980","1657019","494878","107067","1137041","94018","90053","1765641","3999088","666801","1921519","214399","1672024","358169","22831","320335","68280","698329",""
" -> Total -> Total MSA to NonMSA","939954","0","17872","113270","207647","214732","24637","20341","21316","8658","22224","50884","29079","50578","5220","27399","30763","6641","26071","0","62622",""
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","448166","0","10368","59251","121570","36243","10165","13255","3281","5051","21495","38491","18476","40564","3691","14237","12639","0","11252","0","28137",""
"Different State","491788","0","7504","54019","86077","178489","14472","7086","18035","3607","729","12393","10603","10014","1529","13162","18124","6641","14819","0","34485",""
"Same County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
" -> Total -> Total NonMSA to MSA","992818","0","69072","67898","182373","177360","17265","56206","20132","13151","56051","70768","1988","18650","10130","40016","92271","19161","21283","0","59043",""
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","630539","0","54651","43644","121606","89169","7262","36764","0","8836","42372","55934","0","14596","3581","14239","70326","15341","16935","0","35283",""
"Different State","362279","0","14421","24254","60767","88191","10003","19442","20132","4315","13679","14834","1988","4054","6549","25777","21945","3820","4348","0","23760",""
"Same County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
