Source: CPS Annual Social and Economic (March) Supplement 202003
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Previous residence,Recode-Region(Type of Move) recode (MIG_MTR4_RC1)","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
" -> Total","316885367","287557864","1781716","3128175","2551940","1515738","3376969","486934","1436753","396972","117881","2296943","4285358","1213864","1929556","177777","1873972","923734","112540","586767","106594","1027320"
" -> Total -> Total NonMSA to NonMSA","2606443","0","213590","457567","312936","159437","116165","42483","88740","14260","24147","215834","339360","128341","94826","42597","191934","51890","2993","41006","2645","65692"
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","472652","0","11388","43952","57270","7059","61731","2739","13134","3682","0","46582","94128","18150","9765","0","45386","11352","2993","10567","0","32774"
"Different State","163378","0","25157","6003","36386","17111","24640","14373","372","0","16982","5906","0","0","0","0","7602","1521","0","1066","0","6259"
"Same County","1970413","0","177045","407612","219280","135267","29794","25371","75234","10578","7165","163346","245232","110191","85061","42597","138946","39017","0","29373","2645","26659"
" -> Total -> Total others","288694851","287557864","51902","85724","192400","29402","327452","51348","15361","18077","2211","38070","55395","23802","9520","0","11084","120423","928","19553","0","84335"
"Not Elsewhere Classified","288511550","287557864","34471","66330","174432","16660","301714","51348","11312","13731","2211","11487","12733","18451","9520","0","5206","120423","928","18394","0","84335"
"Different County, Same State","51534","0","5813","2664","5367","6639","11046","0","4049","0","0","6057","9899","0","0","0","0","0","0","0","0","0"
"Different State","35582","0","0","2336","8857","0","14692","0","0","4346","0","0","0","5351","0","0","0","0","0","0","0","0"
"Same County","96185","0","11618","14394","3744","6103","0","0","0","0","0","20526","32763","0","0","0","5878","0","0","1159","0","0"
" -> Total -> Total MSA to MSA","23844387","0","1459445","2450430","1786965","1245799","2598155","341720","1272126","307257","74243","1984072","3770185","988942","1735628","114509","1617040","683846","97025","427675","103949","785376"
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","5337165","0","426444","395917","469912","329582","720076","96935","378395","31544","0","434106","434117","192037","434991","26143","406245","224373","9490","129785","11670","185403"
"Different State","3319130","0","125094","121610","382991","125630","1250297","124259","158919","123554","40239","101806","115359","51938","137929","0","43084","177926","86627","82935","0","68933"
"Same County","15188092","0","907907","1932903","934062","790587","627782","120526","734812","152159","34004","1448160","3220709","744967","1162708","88366","1167711","281547","908","214955","92279","531040"
" -> Total -> Total MSA to NonMSA","802246","0","25812","34431","169251","29868","151188","37644","7179","26903","0","43127","55829","46074","38864","12802","31911","23937","1219","28819","0","37388"
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","388823","0","18554","17201","100447","11457","59253","6511","4839","12285","0","31752","36273","30420","16110","4502","13661","5645","0","12808","0","7105"
"Different State","413423","0","7258","17230","68804","18411","91935","31133","2340","14618","0","11375","19556","15654","22754","8300","18250","18292","1219","16011","0","30283"
"Same County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total NonMSA to MSA","937440","0","30967","100023","90388","51232","184009","13739","53347","30475","17280","15840","64589","26705","50718","7869","22003","43638","10375","69714","0","54529"
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Different County, Same State","709769","0","23079","93969","55044","38791","101397","12918","39959","9826","5137","15840","63409","26705","35300","7869","22003","37775","0","68826","0","51922"
"Different State","227671","0","7888","6054","35344","12441","82612","821","13388","20649","12143","0","1180","0","15418","0","0","5863","10375","888","0","2607"
"Same County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
