Source: CPS Annual Social and Economic (March) Supplement 201403
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Previous residence,Recode-Region(Type of Move) recode (MIG_MTR4_RC1)","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
" -> Total","310645141","276319076","1693716","3822541","4738883","3610283","900213","2419984","183524","816649","1886875","5306969","912653","3061516","372061","4052542","73426","14558","107601","5591","346480",""
" -> Total -> Total NonMSA to NonMSA","3605841","0","216078","405898","806139","255083","19058","92619","3167","61221","213394","702248","110321","197063","91012","335855","0","0","59097","0","37588",""
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","611755","0","26564","73423","167932","86025","8742","1641","3167","2117","1835","29067","12090","54124","13125","102131","0","0","14612","0","15160",""
"Different State","168304","0","2045","1919","31936","68395","0","0","0","32853","0","11770","10849","0","0","8537","0","0","0","0","0",""
"Same County","2825782","0","187469","330556","606271","100663","10316","90978","0","26251","211559","661411","87382","142939","77887","225187","0","0","44485","0","22428",""
" -> Total -> Total others","277638935","276319076","30382","119270","183235","376695","105626","15330","14386","74888","8651","93237","0","53281","0","223990","19223","0","0","0","1665",""
"Not Elsewhere Classified","277419304","276319076","27430","68500","139783","360242","105626","15330","6701","70330","8651","45176","0","17185","0","214386","19223","0","0","0","1665",""
"Different County, Same State","34422","0","0","0","0","16453","0","0","0","0","0","17969","0","0","0","0","0","0","0","0","0",""
"Different State","32684","0","0","0","20441","0","0","0","7685","4558","0","0","0","0","0","0","0","0","0","0","0",""
"Same County","152525","0","2952","50770","23011","0","0","0","0","0","0","30092","0","36096","0","9604","0","0","0","0","0",""
" -> Total -> Total MSA to MSA","26932820","0","1263831","3145429","3152046","2388766","713055","2105820","147751","596268","1627586","4427803","796217","2723149","277489","3178671","34066","14558","46160","5591","288564",""
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","4626257","0","211344","308343","687466","499885","154421","656639","0","87005","287278","336278","251794","421270","58598","481528","2407","0","3744","0","178257",""
"Different State","3031986","0","108820","140071","510946","1074215","240067","62669","32259","161654","45532","140497","28104","127009","7768","235638","31659","4846","26001","0","54231",""
"Same County","19274577","0","943667","2697015","1953634","814666","318567","1386512","115492","347609","1294776","3951028","516319","2174870","211123","2461505","0","9712","16415","5591","56076",""
" -> Total -> Total MSA to NonMSA","1116536","0","126401","45663","268524","304567","30103","77406","1723","11307","30348","60490","6115","4460","3560","136691","0","0","1123","0","8055",""
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","427686","0","30874","39479","92499","104717","0","43510","0","0","30348","38945","0","0","0","46191","0","0","1123","0","0",""
"Different State","688850","0","95527","6184","176025","199850","30103","33896","1723","11307","0","21545","6115","4460","3560","90500","0","0","0","0","8055",""
"Same County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
" -> Total -> Total NonMSA to MSA","1351009","0","57024","106281","328939","285172","32371","128809","16497","72965","6896","23191","0","83563","0","177335","20137","0","1221","0","10608",""
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","873775","0","47008","39700","242500","138615","10701","112747","16497","22830","6896","10073","0","83563","0","132387","10258","0","0","0","0",""
"Different State","477234","0","10016","66581","86439","146557","21670","16062","0","50135","0","13118","0","0","0","44948","9879","0","1221","0","10608",""
"Same County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
