Source: CPS Annual Social and Economic (March) Supplement 202103
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Previous residence,Recode-Region(Type of Move) recode (MIG_MTR4_RC1)","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
" -> Total","311761555","275622007","2104685","3985558","5157236","3851025","576835","1778615","414402","829999","1898043","5527594","1036090","2704644","260820","5202641","106985","68319","101800","0","534257",""
" -> Total -> Total NonMSA to NonMSA","2861269","0","231962","354980","462632","216029","39395","138441","34530","43605","171825","444531","46773","209882","18187","377742","3787","0","7213","0","59755",""
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","418834","0","21556","51785","107597","106378","977","24288","15811","10329","6478","18068","1262","9989","344","34857","325","0","1400","0","7390",""
"Different State","108282","0","6147","2906","31048","15439","6707","10608","0","10925","406","2983","0","632","0","3676","0","0","0","0","16805",""
"Same County","2334153","0","204259","300289","323987","94212","31711","103545","18719","22351","164941","423480","45511","199261","17843","339209","3462","0","5813","0","35560",""
" -> Total -> Total others","277635688","275622007","132499","109815","348722","492385","88891","27504","19282","90742","48736","56419","47570","27681","8663","423997","14323","0","0","0","76452",""
"Not Elsewhere Classified","277268617","275622007","100728","81216","254117","455015","79114","27504","19282","87018","19756","35840","42525","21948","0","333428","14323","0","0","0","74796",""
"Different County, Same State","98185","0","0","2328","17766","11060","9777","0","0","1980","7883","1808","5045","5006","4518","31014","0","0","0","0","0",""
"Different State","84171","0","5572","6213","27769","22165","0","0","0","0","8448","1827","0","0","0","10521","0","0","0","0","1656",""
"Same County","184715","0","26199","20058","49070","4145","0","0","0","1744","12649","16944","0","727","4145","49034","0","0","0","0","0",""
" -> Total -> Total MSA to MSA","28450555","0","1563398","3343084","3926479","2521755","394672","1489764","307522","577158","1583552","4744586","913109","2337676","215440","3944849","78115","68319","92186","0","348891",""
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","4717494","0","319269","553448","665026","582221","64542","292617","86130","134325","312235","451870","138908","270744","40827","676248","25883","16665","19632","0","66904",""
"Different State","3826209","0","123041","144629","661055","1328528","137135","91138","93597","184755","86789","134620","80181","130421","0","486615","22735","40627","15674","0","64669",""
"Same County","19906852","0","1121088","2645007","2600398","611006","192995","1106009","127795","258078","1184528","4158096","694020","1936511","174613","2781986","29497","11027","56880","0","217318",""
" -> Total -> Total MSA to NonMSA","1179874","0","55759","63638","212862","260774","21997","41236","25977","77493","33283","92043","13084","41037","3828","219682","2065","0","1687","0","13429",""
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","617314","0","29236","33081","106621","81035","10211","29335","6051","35975","29314","62371","5090","33379","0","146375","1458","0","516","0","7266",""
"Different State","562560","0","26523","30557","106241","179739","11786","11901","19926","41518","3969","29672","7994","7658","3828","73307","607","0","1171","0","6163",""
"Same County","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
" -> Total -> Total NonMSA to MSA","1634169","0","121067","114041","206541","360082","31880","81670","27091","41001","60647","190015","15554","88368","14702","236371","8695","0","714","0","35730",""
"Not Elsewhere Classified","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","776313","0","50846","52071","121502","169657","20526","67958","21432","20236","23841","85401","7286","28220","5634","76492","3493","0","714","0","21004",""
"Different State","490935","0","22903","24589","57352","171065","10567","1603","4199","14773","6873","32834","1631","29845","5676","90431","5202","0","0","0","11392",""
"Same County","366921","0","47318","37381","27687","19360","787","12109","1460","5992","29933","71780","6637","30303","3392","69448","0","0","0","0","3334",""
