GEO.id,GEO.id2,GEO.display-label,popchg4201072018,natinc4201072018,births4201072018,deaths4201072018,netmig4201072018,intlmig4201072018,dommig4201072018,popchg20172018,natinc20172018,births20172018,deaths20172018,netmig20172018,intlmig20172018,dommig20172018
Id,Id2,Geography,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Total Population Change [1]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Natural Increase","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Vital Events - Births","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Vital Events - Deaths","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Net Migration - Total","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Net Migration - International [2]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Net Migration - Domestic","Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Total Population Change [1]","Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Natural Increase","Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Vital Events - Births","Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Vital Events - Deaths","Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Net Migration - Total","Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Net Migration - International [2]","Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Net Migration - Domestic"
310M400US10180,10180,"Abilene, TX Metro Area",6205,5910,19569,13659,356,3064,-2708,935,642,2381,1739,301,282,19
310M400US10420,10420,"Akron, OH Metro Area",1642,3452,61823,58371,-1397,13108,-14505,478,-17,7212,7229,522,1571,-1049
310M400US10500,10500,"Albany, GA Metro Area",-4484,5056,17048,11992,-9674,885,-10559,1716,283,1844,1561,1411,114,1297
310M400US10540,10540,"Albany, OR Metro Area",10659,2087,12160,10073,8595,100,8495,2358,221,1523,1302,2122,25,2097
310M400US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",12455,10598,74807,64209,2350,15712,-13362,1039,607,8836,8229,459,1638,-1179
310M400US10740,10740,"Albuquerque, NM Metro Area",28863,27199,86296,59097,2115,11342,-9227,3030,1892,9738,7846,1177,905,272
310M400US10780,10780,"Alexandria, LA Metro Area",-874,3615,16959,13344,-4412,694,-5106,-560,361,1984,1623,-922,28,-950
310M400US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",21646,4339,70420,66081,17904,22831,-4927,4832,500,8569,8069,4375,3690,685
310M400US11020,11020,"Altoona, PA Metro Area",-4624,-2516,10714,13230,-2001,174,-2175,-683,-403,1217,1620,-275,22,-297
310M400US11100,11100,"Amarillo, TX Metro Area",14010,11729,30755,19026,2164,6701,-4537,992,1191,3477,2286,-203,849,-1052
310M400US11180,11180,"Ames, IA Metro Area",8563,3542,7670,4128,4993,6512,-1519,845,375,900,525,467,836,-369
310M400US11260,11260,"Anchorage, AK Metro Area",18327,31533,49597,18064,-13566,9603,-23169,-1499,3350,5747,2397,-4878,1292,-6170
310M400US11460,11460,"Ann Arbor, MI Metro Area",25859,12607,30655,18048,13480,18497,-5017,1755,1242,3637,2395,506,2123,-1617
310M400US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",-4317,-605,11052,11657,-3673,456,-4129,-387,-201,1293,1494,-182,71,-253
310M400US11540,11540,"Appleton, WI Metro Area",11860,9659,23302,13643,2363,1970,393,1466,1046,2727,1681,433,256,177
310M400US11700,11700,"Asheville, NC Metro Area",34726,-3337,36328,39665,37730,1069,36661,4330,-763,4317,5080,5071,191,4880
310M400US12020,12020,"Athens-Clarke County, GA Metro Area",18742,7055,18280,11225,11557,3747,7810,2309,757,2201,1444,1563,474,1089
310M400US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",663201,310444,600415,289971,351958,138098,213860,75702,32332,72419,40087,43362,17774,25588
