GEO.id,GEO.id2,GEO.display-label,popchg4201072016,natinc4201072016,births4201072016,deaths4201072016,netmig4201072016,intlmig4201072016,dommig4201072016,popchg20152016,natinc20152016,births20152016,deaths20152016,netmig20152016,intlmig20152016,dommig20152016
Id,Id2,Geography,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2016 - Total Population Change [1]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2016 - Natural Increase","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2016 - Vital Events - Births","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2016 - Vital Events - Deaths","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2016 - Net Migration - Total","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2016 - Net Migration - International [2]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2016 - Net Migration - Domestic","Annual Estimates of the Components of Population Change - July 1, 2015 to July 1, 2016 - Total Population Change [1]","Annual Estimates of the Components of Population Change - July 1, 2015 to July 1, 2016 - Natural Increase","Annual Estimates of the Components of Population Change - July 1, 2015 to July 1, 2016 - Vital Events - Births","Annual Estimates of the Components of Population Change - July 1, 2015 to July 1, 2016 - Vital Events - Deaths","Annual Estimates of the Components of Population Change - July 1, 2015 to July 1, 2016 - Net Migration - Total","Annual Estimates of the Components of Population Change - July 1, 2015 to July 1, 2016 - Net Migration - International [2]","Annual Estimates of the Components of Population Change - July 1, 2015 to July 1, 2016 - Net Migration - Domestic"
310M300US10180,10180,"Abilene, TX Metro Area",5112,4575,14808,10233,522,2490,-1968,471,690,2445,1755,-218,381,-599
310M300US10420,10420,"Akron, OH Metro Area",-982,4112,47673,43561,-3839,8021,-11860,-1137,448,7641,7193,-1106,1364,-2470
310M300US10500,10500,"Albany, GA Metro Area",-5281,4358,13277,8919,-9768,672,-10440,-1289,422,1937,1515,-1787,100,-1887
310M300US10540,10540,"Albany, OR Metro Area",6177,1559,9006,7447,4360,74,4286,2405,146,1436,1290,2138,12,2126
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",11147,9012,57223,48211,3810,15557,-11747,1036,1100,9158,8058,398,2595,-2197
310M300US10740,10740,"Albuquerque, NM Metro Area",22826,22961,66702,43741,-80,6355,-6435,4732,2670,10272,7602,2028,1065,963
310M300US10780,10780,"Alexandria, LA Metro Area",867,3052,13061,10009,-2028,870,-2898,127,531,2152,1621,-337,142,-479
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",14386,4382,53935,49553,10342,17256,-6914,2603,524,8556,8032,2465,3100,-635
310M300US11020,11020,"Altoona, PA Metro Area",-2426,-1538,8435,9973,-1039,213,-1252,-856,-386,1287,1673,-437,36,-473
310M300US11100,11100,"Amarillo, TX Metro Area",11409,9529,23842,14313,1719,4889,-3170,1729,1465,3789,2324,255,882,-627
310M300US11180,11180,"Ames, IA Metro Area",7548,2806,5828,3022,4858,4836,22,744,384,886,502,403,875,-472
310M300US11260,11260,"Anchorage, AK Metro Area",21736,24522,37941,13419,-2706,7783,-10489,3125,3727,6074,2347,-551,1131,-1682
310M300US11460,11460,"Ann Arbor, MI Metro Area",19643,9847,23359,13512,9891,12661,-2770,3862,1386,3709,2323,2504,2195,309
310M300US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",-3975,-456,8211,8667,-3373,214,-3587,-674,-204,1237,1441,-435,27,-462
310M300US11540,11540,"Appleton, WI Metro Area",8413,7692,17792,10100,722,1188,-466,1023,1117,2822,1705,-52,214,-266
310M300US11700,11700,"Asheville, NC Metro Area",27466,-1922,27684,29606,28029,1319,26710,6181,-567,4510,5077,6525,226,6299
310M300US12020,12020,"Athens-Clarke County, GA Metro Area",12749,5591,13898,8307,6884,2827,4057,2468,836,2226,1390,1640,493,1147
310M300US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",502975,241489,455443,213954,257589,104223,153366,90650,35611,73772,38161,54441,17796,36645
310M300US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",-3549,3782,20046,16264,-7210,9198,-16408,-2044,240,3019,2779,-2200,1518,-3718
310M300US12220,12220,"Auburn-Opelika, AL Metro Area",18695,4929,11163,6234,13421,3544,9877,2224,848,1904,1056,1342,573,769
310M300US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",30046,13872,46349,32477,15493,5722,9771,4872,1924,7494,5570,2913,826,2087
310M300US12420,12420,"Austin-Round Rock, TX Metro Area",340085,104865,161908,57043,229967,37592,192375,58301,17071,27375,10304,40273,6878,33395
310M300US12540,12540,"Bakersfield, CA Metro Area",45161,53597,89042,35445,-7445,9557,-17002,5291,8079,14173,6094,-2508,1720,-4228
310M300US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",88303,63167,211423,148256,28008,54506,-26498,5049,8265,33978,25713,-2461,8801,-11262
310M300US12620,12620,"Bangor, ME Metro Area",-2114,-409,9058,9467,-1668,778,-2446,-672,-197,1380,1577,-356,132,-488
310M300US12700,12700,"Barnstable Town, MA Metro Area",-1592,-8019,9771,17790,6338,2310,4028,-345,-1402,1506,2908,1136,391,745
