GEO.id,GEO.id2,GEO.display-label,popchg4201072017,natinc4201072017,births4201072017,deaths4201072017,netmig4201072017,intlmig4201072017,dommig4201072017,popchg20162017,natinc20162017,births20162017,deaths20162017,netmig20162017,intlmig20162017,dommig20162017
Id,Id2,Geography,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Total Population Change [1]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Natural Increase","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Vital Events - Births","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Vital Events - Deaths","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Net Migration - Total","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Net Migration - International [2]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2017 - Net Migration - Domestic","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Total Population Change [1]","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Natural Increase","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Vital Events - Births","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Vital Events - Deaths","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Net Migration - Total","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Net Migration - International [2]","Annual Estimates of the Components of Population Change - July 1, 2016 to July 1, 2017 - Net Migration - Domestic"
310M300US29620,29620,"Lansing-East Lansing, MI Metro Area",13624,11821,38103,26282,1807,14460,-12653,3346,1538,5266,3728,1818,2111,-293
310M300US29700,29700,"Laredo, TX Metro Area",24490,29936,39269,9333,-5411,7074,-12485,2393,3895,5253,1358,-1508,1319,-2827
310M300US29740,29740,"Las Cruces, NM Metro Area",6357,11107,21938,10831,-4777,1161,-5938,1705,1324,2883,1559,390,294,96
310M300US29820,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",252810,86080,194083,108003,166153,46411,119742,47355,10582,27449,16867,36635,7221,29414
310M300US29940,29940,"Lawrence, KS Metro Area",9967,4411,9147,4736,5593,4540,1053,1301,667,1318,651,638,696,-58
310M300US30020,30020,"Lawton, OK Metro Area",-2942,6507,14355,7848,-9641,2908,-12549,38,600,1749,1149,-557,179,-736
310M300US30140,30140,"Lebanon, PA Metro Area",6177,1398,11744,10346,4898,4167,731,1197,99,1583,1484,1104,678,426
310M300US30300,30300,"Lewiston, ID-WA Metro Area",2027,-123,5213,5336,2176,-63,2239,514,-12,712,724,528,-10,538
310M300US30340,30340,"Lewiston-Auburn, ME Metro Area",-51,1729,9332,7603,-1745,985,-2730,382,200,1241,1041,188,165,23
310M300US30460,30460,"Lexington-Fayette, KY Metro Area",40548,18536,45945,27409,22072,10541,11531,5890,2559,6425,3866,3345,1759,1586
310M300US30620,30620,"Lima, OH Metro Area",-3128,1372,9240,7868,-4504,169,-4673,-428,168,1242,1074,-596,22,-618
310M300US30700,30700,"Lincoln, NE Metro Area",29362,15007,30838,15831,14459,7702,6757,3886,1986,4208,2222,1909,1255,654
310M300US30780,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",38558,24134,70583,46449,14547,7332,7215,4883,2997,9575,6578,1902,1054,848
310M300US30860,30860,"Logan, UT-ID Metro Area",12560,14517,18876,4359,-1967,1675,-3642,2313,2034,2651,617,286,237,49
310M300US30980,30980,"Longview, TX Metro Area",3097,5516,21739,16223,-2332,1665,-3997,167,611,2853,2242,-439,283,-722
310M300US31020,31020,"Longview, WA Metro Area",4502,911,8795,7884,3615,325,3290,2154,149,1278,1129,2000,62,1938
310M300US31080,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",524946,623365,1202115,578750,-93959,408586,-502545,25646,72157,160094,87937,-46586,63083,-109669
310M300US31140,31140,"Louisville/Jefferson County, KY-IN Metro Area",58247,28174,114685,86511,30794,18643,12151,9105,3767,15791,12024,5395,2970,2425
310M300US31180,31180,"Lubbock, TX Metro Area",26113,13130,30921,17791,12933,2959,9974,2970,1779,4407,2628,1194,485,709
310M300US31340,31340,"Lynchburg, VA Metro Area",8594,1993,20601,18608,6670,2616,4054,1162,254,2867,2613,916,443,473
310M300US31420,31420,"Macon-Bibb County, GA Metro Area",-3372,4519,21752,17233,-7877,1579,-9456,-249,260,2811,2551,-508,242,-750
310M300US31460,31460,"Madera, CA Metro Area",6047,9054,16622,7568,-3065,1310,-4375,1924,1177,2181,1004,752,269,483
310M300US31540,31540,"Madison, WI Metro Area",48802,23333,53718,30385,25591,12367,13224,6798,3148,7400,4252,3655,1949,1706
310M300US31700,31700,"Manchester-Nashua, NH Metro Area",8980,8740,31204,22464,410,7604,-7194,1979,999,4261,3262,995,1175,-180
310M300US31740,31740,"Manhattan, KS Metro Area",5338,6580,10253,3673,-1444,5136,-6580,-61,760,1305,545,-828,531,-1359
310M300US31860,31860,"Mankato-North Mankato, MN Metro Area",4199,3185,8172,4987,1042,1079,-37,1039,393,1105,712,650,183,467
310M300US31900,31900,"Mansfield, OH Metro Area",-3887,213,10113,9900,-4087,153,-4240,-578,10,1374,1364,-587,26,-613
310M300US32580,32580,"McAllen-Edinburg-Mission, TX Metro Area",85891,87171,116163,28992,-978,15468,-16446,10474,11099,15574,4475,-621,2989,-3610
310M300US32780,32780,"Medford, OR Metro Area",14273,492,16965,16473,13778,-305,14083,2773,82,2389,2307,2687,-44,2731
310M300US32820,32820,"Memphis, TN-MS-AR Metro Area",23433,53388,136058,82670,-30000,10607,-40607,3067,6328,18343,12015,-3260,1680,-4940
310M300US32900,32900,"Merced, CA Metro Area",16875,18546,30355,11809,-1598,2404,-4002,3795,2370,4073,1703,1435,414,1021
310M300US33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",592525,142462,490495,348033,450144,513783,-63639,51391,16670,69419,52749,34647,81824,-47177
310M300US33140,33140,"Michigan City-La Porte, IN Metro Area",-1438,1152,9584,8432,-2529,-2,-2527,-179,130,1314,1184,-307,-2,-305
310M300US33220,33220,"Midland, MI Metro Area",-218,1054,6180,5126,-1258,1126,-2384,-22,88,824,736,-109,181,-290
310M300US33260,33260,"Midland, TX Metro Area",29004,12267,20174,7907,16322,2324,13998,1514,1926,3050,1124,-413,464,-877
310M300US33340,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",20282,48828,144429,95601,-27959,22616,-50575,93,6075,19474,13399,-5946,3689,-9635
310M300US33460,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",251760,169517,331430,161913,83984,83552,432,43342,22283,45810,23527,21202,13107,8095
310M300US33540,33540,"Missoula, MT Metro Area",8142,2874,8966,6092,5293,546,4747,1545,364,1252,888,1174,94,1080
310M300US33660,33660,"Mobile, AL Metro Area",812,9536,40422,30886,-8517,3720,-12237,-897,994,5475,4481,-1885,493,-2378
310M300US33700,33700,"Modesto, CA Metro Area",33448,26900,55556,28656,6804,7244,-440,6546,3753,7740,3987,2826,1162,1664
310M300US33740,33740,"Monroe, LA Metro Area",1940,5670,18485,12815,-3632,843,-4475,-1101,612,2488,1876,-1710,127,-1837
310M300US33780,33780,"Monroe, MI Metro Area",-2372,970,11068,10098,-3353,443,-3796,426,87,1493,1406,348,78,270
310M300US33860,33860,"Montgomery, AL Metro Area",-638,9652,35032,25380,-10317,3230,-13547,428,1093,4711,3618,-655,406,-1061
310M300US34060,34060,"Morgantown, WV Metro Area",9000,2924,10308,7384,5979,2523,3456,227,350,1395,1045,-122,419,-541
310M300US34100,34100,"Morristown, TN Metro Area",3888,-130,9399,9529,4081,944,3137,1207,-101,1260,1361,1310,171,1139
310M300US34580,34580,"Mount Vernon-Anacortes, WA Metro Area",8723,2289,10556,8267,6478,1000,5478,2229,262,1475,1213,1960,196,1764
310M300US34620,34620,"Muncie, IN Metro Area",-2485,221,8897,8676,-2674,1202,-3876,-299,-13,1168,1181,-286,194,-480
310M300US34740,34740,"Muskegon, MI Metro Area",1505,3080,15282,12202,-1614,387,-2001,591,351,2079,1728,247,59,188
310M300US34820,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",87443,-1211,30012,31223,87194,2218,84976,16372,-712,4213,4925,16953,367,16586
310M300US34900,34900,"Napa, CA Metro Area",4443,1867,10687,8820,2683,2270,413,-676,132,1446,1314,-808,321,-1129
310M300US34940,34940,"Naples-Immokalee-Marco Island, FL Metro Area",51360,975,23497,22522,50154,16518,33636,6785,-279,3304,3583,7060,2665,4395
310M300US34980,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",232162,71409,170824,99415,159311,33169,126142,34190,9967,24690,14723,24218,5510,18708
310M300US35100,35100,"New Bern, NC Metro Area",-1948,3066,12508,9442,-5057,2786,-7843,-417,264,1590,1326,-677,172,-849
310M300US35300,35300,"New Haven-Milford, CT Metro Area",-2027,9241,64732,55491,-11253,28377,-39630,462,1015,8650,7635,-564,4323,-4887
310M300US35380,35380,"New Orleans-Metairie, LA Metro Area",85903,36897,115671,78774,47744,23037,24707,4567,4611,16299,11688,-9,3521,-3530
310M300US35620,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",754396,776422,1811927,1035505,-21503,1067992,-1089495,45697,93496,245608,152112,-48021,160842,-208863
