GEO.id,GEO.id2,GEO.display-label,popchg4201072018,natinc4201072018,births4201072018,deaths4201072018,netmig4201072018,intlmig4201072018,dommig4201072018,popchg20172018,natinc20172018,births20172018,deaths20172018,netmig20172018,intlmig20172018,dommig20172018
Id,Id2,Geography,"Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Total Population Change [1]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Natural Increase","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Vital Events - Births","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Vital Events - Deaths","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Net Migration - Total","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Net Migration - International [2]","Cumulative Estimates of the Components of Population Change - April 1, 2010 to July 1, 2018 - Net Migration - Domestic","Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Total Population Change [1]","Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Natural Increase","Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Vital Events - Births","Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Vital Events - Deaths","Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Net Migration - Total","Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Net Migration - International [2]","Annual Estimates of the Components of Population Change - July 1, 2017 to July 1, 2018 - Net Migration - Domestic"
310M400US10100,10100,"Aberdeen, SD Micro Area",2588,1084,4515,3431,1508,1062,446,-44,179,568,389,-224,209,-433
310M400US10140,10140,"Aberdeen, WA Micro Area",1103,-335,6429,6764,1436,152,1284,1348,-118,742,860,1461,8,1453
310M400US10220,10220,"Ada, OK Micro Area",757,871,4523,3652,-84,329,-413,-107,28,541,513,-135,31,-166
310M400US10300,10300,"Adrian, MI Micro Area",-1626,421,8633,8212,-2044,341,-2385,-216,29,1026,997,-242,59,-301
310M400US10460,10460,"Alamogordo, NM Micro Area",2949,2745,7536,4791,122,3533,-3411,583,367,952,585,221,227,-6
310M400US10620,10620,"Albemarle, NC Micro Area",1489,-38,5553,5591,1575,255,1320,624,-12,699,711,638,36,602
310M400US10660,10660,"Albert Lea, MN Micro Area",-810,-180,2810,2990,-618,146,-764,-93,-38,321,359,-53,14,-67
310M400US10700,10700,"Albertville, AL Micro Area",3090,1831,10873,9042,1350,722,628,500,231,1363,1132,273,43,230
310M400US10760,10760,"Alexander City, AL Micro Area",-1121,-631,3765,4396,-475,-25,-450,-116,-147,409,556,34,-10,44
