Source: CPS Annual Social and Economic (March) Supplement 201703
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Previous residence,Recode-Region(Type of Move) recode (MIG_MTR4_RC1)","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
"Different State","8562","0","0","872","1560","1083","0","768","789","0","543","775","0","729","0","0","0","0","1443","0","0",""
"Same County","60350","0","307","14058","4207","1415","3212","2556","0","0","3553","10161","8378","3730","530","2501","0","0","4703","0","1039",""
" -> Total -> Total District of Columbia","661353","568801","4228","5590","1876","21590","2508","4273","0","2209","4360","20680","1192","4781","0","5101","5700","0","1008","0","7456",""
"Not Elsewhere Classified","576179","568801","1234","0","283","1790","0","0","0","0","0","0","0","0","0","0","3128","0","0","0","943",""
"Different County, Same State","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different State","27797","0","1092","1000","298","11042","2508","2090","0","1257","246","3331","680","0","0","915","1142","0","295","0","1901",""
"Same County","57377","0","1902","4590","1295","8758","0","2183","0","952","4114","17349","512","4781","0","4186","1430","0","713","0","4612",""
" -> Total -> Total Florida","20112315","17608398","84178","360267","238140","248890","53459","120943","34248","3860","220422","329567","74985","230506","52744","232474","10604","25535","66798","3539","112758",""
"Not Elsewhere Classified","17800582","17608398","9297","17145","33777","31388","36471","0","15367","0","0","0","0","6267","0","6822","0","0","0","0","35650",""
"Different County, Same State","379281","0","12419","30015","29152","103028","12643","34207","3424","0","20556","32308","0","62916","3671","31318","3624","0","0","0","0",""
"Different State","364736","0","17763","41709","45570","57016","2669","19274","11842","0","15133","12896","0","12901","3022","37124","5634","25535","15262","0","41386",""
"Same County","1567716","0","44699","271398","129641","57458","1676","67462","3615","3860","184733","284363","74985","148422","46051","157210","1346","0","51536","3539","35722",""
" -> Total -> Total Georgia","9966674","8973965","53765","131374","94013","80420","5728","105720","7748","7373","83557","186512","16684","81352","0","42591","46540","8428","10480","0","30424",""
"Not Elsewhere Classified","8986592","8973965","0","0","0","10736","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1891",""
"Different County, Same State","209173","0","6960","25453","39624","12741","0","33976","2761","0","15781","0","9610","26597","0","14789","9553","0","7035","0","4293",""
"Different State","166463","0","0","18956","40239","36023","5728","0","4987","0","0","17963","3470","3650","0","0","14494","8428","0","0","12525",""
"Same County","604446","0","46805","86965","14150","20920","0","71744","0","7373","67776","168549","3604","51105","0","27802","22493","0","3445","0","11715",""
" -> Total -> Total Hawaii","1344544","1211234","7014","6887","28131","8050","732","8719","7388","9995","5987","8174","0","11289","0","17435","1676","5797","1836","0","4200",""
"Not Elsewhere Classified","1223091","1211234","723","0","6151","0","0","0","0","1809","0","0","0","0","0","2266","908","0","0","0","0",""
"Different County, Same State","2576","0","0","0","559","1161","0","0","0","302","0","0","0","554","0","0","0","0","0","0","0",""
"Different State","19661","0","710","728","1706","6889","0","1617","0","1569","0","0","0","0","0","397","338","4861","0","0","846",""
"Same County","99216","0","5581","6159","19715","0","732","7102","7388","6315","5987","8174","0","10735","0","14772","430","936","1836","0","3354",""
" -> Total -> Total Idaho","1669107","1478408","19132","22833","22171","16230","941","6321","1652","1810","15515","22898","0","8910","0","16009","14859","2419","5704","0","13295",""
"Not Elsewhere Classified","1485077","1478408","0","0","5730","0","0","0","0","0","0","0","0","0","0","0","939","0","0","0","0",""
"Different County, Same State","31804","0","2379","2823","5608","7884","0","4268","0","1015","0","0","0","891","0","2568","2299","0","422","0","1647",""
"Different State","49135","0","4326","4214","6703","8346","0","0","1652","0","3032","0","0","904","0","5626","5982","2419","3615","0","2316",""
"Same County","103091","0","12427","15796","4130","0","941","2053","0","795","12483","22898","0","7115","0","7815","5639","0","1667","0","9332",""
" -> Total -> Total Illinois","12176954","10931878","36647","101519","147249","82834","17156","61606","0","5792","80738","319460","19521","83419","13221","185903","34335","0","13486","0","42190",""
"Not Elsewhere Classified","10997449","10931878","0","3023","17914","0","0","0","0","5792","0","0","0","1677","0","14909","9875","0","0","0","12381",""
"Different County, Same State","241192","0","6357","24732","29839","0","3238","13107","0","0","22741","63431","14192","12424","3391","41982","3762","0","1996","0","0",""
"Different State","247258","0","8691","5665","42299","62635","7041","10860","0","0","0","37352","0","6712","0","36980","13225","0","0","0","15798",""
"Same County","691055","0","21599","68099","57197","20199","6877","37639","0","0","57997","218677","5329","62606","9830","92032","7473","0","11490","0","14011",""
" -> Total -> Total Indiana","6474696","5756742","25658","99901","62728","47692","0","26335","3106","8281","43243","98629","67278","37612","31931","122178","5278","5352","15909","0","16843",""
"Not Elsewhere Classified","5758529","5756742","0","0","1787","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","179642","0","3327","17766","19165","18818","0","11451","3106","0","6798","27047","5284","10771","26722","19695","5278","0","0","0","4414",""
"Different State","96957","0","10802","9891","19797","25763","0","0","0","0","0","4374","0","2910","0","8758","0","5352","0","0","9310",""
"Same County","439568","0","11529","72244","21979","3111","0","14884","0","8281","36445","67208","61994","23931","5209","93725","0","0","15909","0","3119",""
" -> Total -> Total Iowa","3095991","2750646","22325","28399","26554","49333","14736","16781","4079","2180","8783","86574","4062","36318","0","13856","10776","0","16483","0","4106",""
"Not Elsewhere Classified","2768270","2750646","0","0","5374","0","6820","0","0","0","0","0","0","0","0","0","5430","0","0","0","0",""
"Different County, Same State","90015","0","2849","16180","8979","13173","4036","5963","0","2180","2536","8232","0","16263","0","0","5346","0","4278","0","0",""
"Different State","42349","0","0","0","9481","32868","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Same County","195357","0","19476","12219","2720","3292","3880","10818","4079","0","6247","78342","4062","20055","0","13856","0","0","12205","0","4106",""
" -> Total -> Total Kansas","2779425","2497101","14679","33464","20291","27720","1521","11388","0","15551","29545","35832","6882","29888","0","33253","2427","0","9412","0","10471",""
"Not Elsewhere Classified","2500152","2497101","1046","0","2005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","41237","0","3524","4774","0","4775","0","1810","0","3952","6756","1415","0","0","0","6771","0","0","3144","0","4316",""
"Different State","50342","0","0","4489","5282","19982","0","1961","0","6350","0","0","3759","0","0","6092","2427","0","0","0","0",""
"Same County","187694","0","10109","24201","13004","2963","1521","7617","0","5249","22789","34417","3123","29888","0","20390","0","0","6268","0","6155",""
" -> Total -> Total Kentucky","4336294","3777966","34702","48925","56976","60262","11650","60841","0","38412","25686","70371","53194","37251","0","38542","7595","0","7664","4999","1258",""
"Not Elsewhere Classified","3781484","3777966","0","0","1076","2442","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
