Source: CPS Annual Social and Economic (March) Supplement 201703
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Previous residence,Recode-Region(Type of Move) recode (MIG_MTR4_RC1)","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
"Not Elsewhere Classified","9927884","9924010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3874",""
"Different County, Same State","297626","0","18310","14838","57833","31371","0","26850","0","12550","1482","46711","15965","18084","3760","13921","24817","0","0","0","11134",""
"Different State","82763","0","7074","11597","16268","32129","0","2747","0","1971","0","0","3623","3662","0","0","3692","0","0","0","0",""
"Same County","1052760","0","86359","100375","99917","3451","0","51587","2313","0","109394","190866","16567","80791","26112","158150","62476","4409","0","0","59993",""
" -> Total -> Total Oklahoma","3856223","3373749","61241","91557","48686","36943","9770","15051","0","0","29926","92771","2457","19214","0","34492","2455","0","3290","0","34621",""
"Not Elsewhere Classified","3382057","3373749","2532","0","5776","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","111642","0","15284","25170","12137","13624","5547","7406","0","0","0","7306","0","0","0","18628","2455","0","1716","0","2369",""
"Different State","59669","0","10490","928","5100","17544","4223","0","0","0","3832","1889","0","0","0","0","0","0","0","0","15663",""
"Same County","302855","0","32935","65459","25673","5775","0","7645","0","0","26094","83576","2457","19214","0","15864","0","0","1574","0","16589",""
" -> Total -> Total Oregon","4149651","3660406","12134","52522","28411","77695","26390","2689","0","7670","26084","87174","16346","23899","8009","32553","28608","4391","10324","2612","41734",""
"Not Elsewhere Classified","3680236","3660406","0","0","0","0","2258","0","0","1344","0","0","0","0","0","0","11718","0","0","0","4510",""
"Different County, Same State","83845","0","873","12713","0","18612","0","0","0","1148","2530","0","13837","0","0","6680","8942","4391","7695","0","6424",""
"Different State","114255","0","2686","5755","5330","33304","18691","0","0","5178","0","5730","0","11425","0","0","1885","0","0","0","24271",""
"Same County","271315","0","8575","34054","23081","25779","5441","2689","0","0","23554","81444","2509","12474","8009","25873","6063","0","2629","2612","6529",""
" -> Total -> Total Pennsylvania","12321815","11265417","52783","155067","111827","71882","4494","91662","3423","0","75230","206292","27184","47927","18960","60142","56019","0","7010","0","66496",""
"Not Elsewhere Classified","11268175","11265417","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2758",""
"Different County, Same State","185101","0","0","12850","28916","13414","0","65748","3423","0","0","11126","1248","8357","0","2204","19079","0","0","0","18736",""
"Different State","120428","0","4472","3643","14598","42440","0","0","0","0","0","0","0","0","0","21953","21355","0","0","0","11967",""
"Same County","748111","0","48311","138574","68313","16028","4494","25914","0","0","75230","195166","25936","39570","18960","35985","15585","0","7010","0","33035",""
" -> Total -> Total Rhode Island","1036274","926234","17471","16858","8201","14343","795","5750","0","0","8543","10827","0","6792","4701","2865","3301","925","0","2440","6228",""
"Not Elsewhere Classified","935003","926234","916","2627","1772","0","0","0","0","0","1146","0","0","0","0","0","0","0","0","0","2308",""
"Different County, Same State","8593","0","1726","1023","3147","1538","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1159",""
"Different State","26408","0","0","1073","914","12095","795","3436","0","0","0","2354","0","0","0","1554","3301","0","0","0","886",""
"Same County","66270","0","14829","12135","2368","710","0","2314","0","0","7397","8473","0","6792","4701","1311","0","925","0","2440","1875",""
" -> Total -> Total South Carolina","4774649","4144282","21218","114186","58948","110583","1734","10781","22898","0","45454","76843","17037","18855","11571","43228","31389","0","22205","0","23437",""
"Not Elsewhere Classified","4162911","4144282","0","1765","0","1877","0","0","13780","0","0","0","0","0","0","0","1207","0","0","0","0",""
"Different County, Same State","121022","0","0","24047","5371","9410","0","0","0","0","5500","20056","0","1293","3691","7577","14240","0","20014","0","9823",""
"Different State","193164","0","6182","7857","37246","87138","1734","0","9118","0","10151","4129","0","2502","0","15232","7285","0","2191","0","2399",""
"Same County","297552","0","15036","80517","16331","12158","0","10781","0","0","29803","52658","17037","15060","7880","20419","8657","0","0","0","11215",""
" -> Total -> Total South Dakota","831149","719731","625","19487","10790","13673","4557","7189","1231","2870","2050","15796","1989","2657","0","15575","5010","543","3548","0","3828",""
"Not Elsewhere Classified","721004","719731","0","0","295","978","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","22890","0","0","869","861","2819","0","4280","1231","2870","0","2268","1287","1322","0","1020","1947","0","0","0","2116",""
"Different State","23524","0","0","345","3928","9183","1618","1715","0","0","0","633","702","0","0","535","3063","0","1802","0","0",""
"Same County","63731","0","625","18273","5706","693","2939","1194","0","0","2050","12895","0","1335","0","14020","0","543","1746","0","1712",""
" -> Total -> Total Tennessee","6580742","5751328","32992","130379","80343","80850","3871","56786","12803","9939","12373","111529","23790","88019","0","117195","11161","0","20430","0","36954",""
"Not Elsewhere Classified","5760912","5751328","2650","2132","0","0","0","0","0","0","3305","0","0","0","0","0","0","0","0","0","1497",""
"Different County, Same State","112822","0","0","16550","18581","18054","0","0","0","0","0","21561","3820","10923","0","20864","0","0","0","0","2469",""
"Different State","138510","0","12018","15492","17538","49076","1819","0","12803","0","5056","3502","0","8105","0","0","0","0","10206","0","2895",""
"Same County","568498","0","18324","96205","44224","13720","2052","56786","0","9939","4012","86466","19970","68991","0","96331","11161","0","10224","0","30093",""
" -> Total -> Total Texas","26857454","23498574","232535","389167","322485","310031","27940","258807","40291","28285","229335","693569","88639","273404","25158","136349","65991","28496","66927","25515","115956",""
"Not Elsewhere Classified","23673638","23498574","0","53866","0","31948","0","13920","3583","3852","0","0","0","0","0","0","22179","0","0","0","45716",""
"Different County, Same State","550504","0","22207","76265","47475","97821","0","19146","27508","5185","51056","38874","18735","74468","6342","8188","37419","0","17619","0","2196",""
"Different State","386027","0","68656","41100","57574","137065","24173","0","0","17532","0","5797","0","1687","0","0","0","21940","3728","0","6775",""
"Same County","2247285","0","141672","217936","217436","43197","3767","225741","9200","1716","178279","648898","69904","197249","18816","128161","6393","6556","45580","25515","61269",""
" -> Total -> Total Utah","3119733","2749541","41775","24023","32052","43982","5218","41521","2714","4710","19602","44236","7502","26499","0","33818","12262","0","4600","4699","20979",""
"Not Elsewhere Classified","2762692","2749541","0","1789","4238","0","0","0","0","0","0","0","0","0","0","0","4193","0","2931","0","0",""
"Different County, Same State","88378","0","19400","4817","1804","23938","0","13448","0","4710","0","0","0","1742","0","6018","2184","0","0","0","10317",""
"Different State","59333","0","3277","0","10261","18144","0","6650","1372","0","0","0","0","0","0","4919","5885","0","0","4699","4126",""
"Same County","209330","0","19098","17417","15749","1900","5218","21423","1342","0","19602","44236","7502","24757","0","22881","0","0","1669","0","6536",""
" -> Total -> Total Vermont","613775","548858","3840","5921","2281","11007","0","2937","348","1182","9393","2351","0","4452","2417","6837","5456","0","2476","0","4019",""
"Not Elsewhere Classified","548858","548858","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","9821","0","0","1566","1020","1351","0","1133","0","0","0","0","0","0","902","1197","0","0","1456","0","1196",""
"Different State","13412","0","0","0","442","6845","0","0","348","1182","1579","251","0","0","436","872","0","0","0","0","1457",""
"Same County","41684","0","3840","4355","819","2811","0","1804","0","0","7814","2100","0","4452","1079","4768","5456","0","1020","0","1366",""
" -> Total -> Total Virginia","8040568","6972368","16984","102642","115279","139290","19440","22051","2038","6855","96545","212065","23558","104925","3262","87275","23338","0","6929","0","85724",""
"Not Elsewhere Classified","6983073","6972368","0","0","1724","4148","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4833",""
"Different County, Same State","349681","0","1871","39999","48657","19547","14545","9549","2038","0","10302","84301","19226","13019","0","38229","12279","0","5312","0","30807",""
"Different State","152269","0","4956","0","17820","88241","4895","0","0","6855","11065","5559","0","7317","0","0","1775","0","0","0","3786",""
"Same County","555545","0","10157","62643","47078","27354","0","12502","0","0","75178","122205","4332","84589","3262","49046","9284","0","1617","0","46298",""
" -> Total -> Total Washington","7234796","6274295","50700","126910","82695","154658","1397","40328","0","7671","39478","154860","18555","57776","28016","78636","4807","5883","7228","0","100903",""
"Not Elsewhere Classified","6305245","6274295","5059","0","16933","2846","0","0","0","0","0","3025","0","0","0","0","0","0","0","0","3087",""
"Different County, Same State","218362","0","5368","20557","24742","13477","0","7782","0","0","7289","40874","0","21815","6398","21126","0","0","0","0","48934",""
"Different State","272687","0","4905","15205","30421","119074","1397","0","0","7671","0","24914","1988","0","14979","14292","4807","5883","0","0","27151",""
"Same County","438502","0","35368","91148","10599","19261","0","32546","0","0","32189","86047","16567","35961","6639","43218","0","0","7228","0","21731",""
" -> Total -> Total West Virginia","1770823","1638543","8202","24828","14694","9217","1373","5718","0","0","9003","9229","3388","11740","1431","13006","10627","0","3454","957","5413",""
"Not Elsewhere Classified","1643215","1638543","0","0","0","3200","0","0","0","0","0","0","0","0","0","0","1472","0","0","0","0",""
"Different County, Same State","28876","0","2503","8049","3888","1470","0","0","0","0","0","1248","0","0","1431","0","5525","0","0","0","4762",""
"Different State","19746","0","1662","777","6340","1921","0","0","0","0","0","0","0","3265","0","617","3630","0","1534","0","0",""
"Same County","78986","0","4037","16002","4466","2626","1373","5718","0","0","9003","7981","3388","8475","0","12389","0","0","1920","957","651",""
" -> Total -> Total Wisconsin","5650702","4955820","51647","81608","69903","32243","0","9542","18070","7884","75981","122055","13269","89417","0","55807","6575","0","21756","0","39125",""
"Not Elsewhere Classified","4955820","4955820","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","102824","0","7519","27581","5290","17442","0","0","0","7884","3113","0","0","16005","0","8161","3160","0","6669","0","0",""
"Different State","91920","0","4457","8180","22036","9620","0","0","15216","0","0","11874","0","6856","0","0","0","0","8577","0","5104",""
"Same County","500138","0","39671","45847","42577","5181","0","9542","2854","0","72868","110181","13269","66556","0","47646","3415","0","6510","0","34021",""
" -> Total -> Total Wyoming","567911","480352","2325","10922","11848","16077","1396","1739","0","2226","6370","13185","3768","3512","294","4290","5132","126","2222","0","2127",""
"Not Elsewhere Classified","481064","480352","161","0","0","0","0","0","0","0","0","0","0","0","0","0","425","126","0","0","0",""
"Different County, Same State","7340","0","272","0","945","3853","0","671","0","618","0","0","0","0","0","0","814","0","167","0","0",""
"Different State","22321","0","568","2292","3960","7897","0","0","0","508","1408","310","0","2260","0","0","2360","0","379","0","379",""
"Same County","57186","0","1324","8630","6943","4327","1396","1068","0","1100","4962","12875","3768","1252","294","4290","1533","0","1676","0","1748",""
