"Previous residence,Recode-Region(Type of Move) recode (MIG_MTR4_RC1)","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
"Different County, Same State","107030","0","19671","28517","6077","13149","0","4316","0","0","0","17048","0","2479","0","0","0","0","11498","0","4275",""
"Different State","104248","0","0","9000","23150","66356","0","0","0","0","0","2216","0","0","0","0","3526","0","0","0","0",""
"Same County","288993","0","12204","44808","14605","0","0","33441","0","0","3944","80858","17106","35495","0","7674","0","0","21643","0","17215",""
" -> Total -> Total Mississippi","2777671","2508962","9961","41389","36585","27315","13294","14202","0","0","8651","51986","2120","30149","3448","11601","0","2146","8907","3327","3628",""
"Not Elsewhere Classified","2509590","2508962","0","0","0","628","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","55801","0","3102","3983","6640","10137","3822","8039","0","0","2147","6738","0","9133","0","0","0","0","0","2060","0",""
"Different State","28539","0","1137","3852","8229","5347","1457","0","0","0","601","0","0","0","3448","2322","0","2146","0","0","0",""
"Same County","183741","0","5722","33554","21716","11203","8015","6163","0","0","5903","45248","2120","21016","0","9279","0","0","8907","1267","3628",""
" -> Total -> Total Missouri","5996922","5266306","54105","63601","130008","155586","9008","31264","3298","2062","56893","90550","8841","35793","10073","30585","9932","5031","3469","0","30517",""
"Not Elsewhere Classified","5269649","5266306","3343","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","151483","0","33069","8073","41774","22489","0","14751","0","2062","9815","0","0","6503","0","0","9932","0","0","0","3015",""
