Source: CPS Annual Social and Economic (March) Supplement 201803
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Not Elsewhere Classified","5968281","5943140","0","3420","6904","1643","0","6298","0","0","0","0","0","0","0","0","0","0","6876","0","0",""
"Different County, Same State","56613","0","0","0","15489","0","0","0","0","0","7630","8042","0","21348","0","0","1913","0","0","0","2191",""
"Different State","205469","0","1852","0","33856","66984","0","3141","0","15017","12761","7398","0","0","0","4962","3722","32961","9156","0","13659",""
"Same County","802356","0","26102","108596","67364","17514","17737","31283","0","14369","111220","126969","0","117158","16086","58988","3526","0","27667","0","57777",""
" -> Total -> Total Arkansas","2834311","2477953","14139","31386","52219","13067","1224","22471","2171","10854","17884","88173","13559","28395","1245","20208","15696","0","5649","0","18018",""
"Not Elsewhere Classified","2479272","2477953","0","0","0","1319","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","83426","0","3014","11149","22990","3071","0","14864","0","5136","6701","1258","0","1322","0","0","2921","0","2453","0","8547",""
"Different State","63535","0","4442","7663","9794","7517","1224","3721","0","2941","0","10191","0","4209","0","2439","5395","0","2449","0","1550",""
"Same County","208078","0","6683","12574","19435","1160","0","3886","2171","2777","11183","76724","13559","22864","1245","17769","7380","0","747","0","7921",""
" -> Total -> Total California","38296936","35038724","155512","338190","233434","505542","5852","258705","46667","32696","192334","457512","61874","300680","30488","263811","94725","40813","73587","0","165790",""
"Not Elsewhere Classified","35229684","35038724","4211","18818","38245","58083","0","14883","3134","6631","0","0","0","6110","0","5919","22938","0","0","0","11988",""
"Different County, Same State","636607","0","21513","53772","52351","186071","0","41044","4363","19045","48247","37768","2410","21076","4969","49622","23755","0","15299","0","55302",""
"Different State","243305","0","3469","0","30999","121103","5852","4037","7481","7020","0","0","0","3730","1667","3247","15663","7761","23526","0","7750",""
"Same County","2187340","0","126319","265600","111839","140285","0","198741","31689","0","144087","419744","59464","269764","23852","205023","32369","33052","34762","0","90750",""
" -> Total -> Total Colorado","5472762","4821382","76790","50531","50210","93906","26121","26265","5529","0","33377","126393","16828","53341","0","3694","3349","28505","3344","0","53197",""
"Not Elsewhere Classified","4829132","4821382","0","0","3875","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3875",""
"Different County, Same State","170539","0","42747","0","1674","41721","15825","12653","0","0","8201","16804","8546","10920","0","0","0","0","3344","0","8104",""
"Different State","165570","0","3737","0","19617","36061","7551","6142","5529","0","2908","16290","8282","21823","0","0","3349","28505","0","0","5776",""
"Same County","307521","0","30306","50531","25044","16124","2745","7470","0","0","22268","93299","0","20598","0","3694","0","0","0","0","35442",""
" -> Total -> Total Connecticut","3458154","3193657","15532","28088","58875","2507","1822","11809","3014","11117","0","67088","11286","18451","5267","13720","0","0","2970","0","12951",""
"Not Elsewhere Classified","3216456","3193657","1435","0","3160","2507","0","2819","0","0","0","0","0","3029","0","0","0","0","0","0","9849",""
"Different County, Same State","67317","0","0","0","20940","0","0","0","3014","11117","0","14324","8262","3318","0","6342","0","0","0","0","0",""
"Different State","43798","0","8261","10185","7883","0","0","0","0","0","0","17469","0","0","0","0","0","0","0","0","0",""
"Same County","130583","0","5836","17903","26892","0","1822","8990","0","0","0","35295","3024","12104","5267","7378","0","0","2970","0","3102",""
" -> Total -> Total Delaware","947825","860909","2076","29427","9685","11546","0","4213","1074","0","5866","9197","323","937","0","5849","2141","0","1945","0","2637",""
"Not Elsewhere Classified","861611","860909","0","0","0","0","0","0","0","0","702","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","1190","0","0","1190","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different State","32277","0","1396","11868","1550","10462","0","0","1074","0","1800","726","323","937","0","0","2141","0","0","0","0",""
"Same County","52747","0","680","16369","8135","1084","0","4213","0","0","3364","8471","0","0","0","5849","0","0","1945","0","2637",""
" -> Total -> Total District of Columbia","656600","578216","3336","3715","5414","14944","1434","14130","0","1800","4826","9872","1031","6349","0","4896","1678","0","420","413","4126",""
"Not Elsewhere Classified","582615","578216","0","0","263","926","328","517","0","0","0","0","0","0","0","0","352","0","243","0","1770",""
"Different County, Same State","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different State","29663","0","446","545","2962","11941","728","8293","0","1254","812","710","212","482","0","338","789","0","0","0","151",""
"Same County","44322","0","2890","3170","2189","2077","378","5320","0","546","4014","9162","819","5867","0","4558","537","0","177","413","2205",""
" -> Total -> Total Florida","20510317","18235615","106668","281538","385490","186478","20046","85730","58303","15430","122755","234555","47497","240860","3848","177159","111296","24382","84232","34987","53448",""
"Not Elsewhere Classified","18346158","18235615","0","0","29582","4499","0","0","0","10613","0","10828","0","0","0","14294","34064","0","0","6663","0",""
"Different County, Same State","415767","0","31247","56836","126200","26934","0","10644","0","0","19484","4680","0","32582","3848","8034","42192","10667","23812","9295","9312",""
"Different State","333164","0","9200","29221","80816","91157","2167","0","21423","0","3913","17126","0","48019","0","16407","0","13715","0","0","0",""
"Same County","1415228","0","66221","195481","148892","63888","17879","75086","36880","4817","99358","201921","47497","160259","0","138424","35040","0","60420","19029","44136",""
" -> Total -> Total Georgia","9908645","8689115","70125","130822","120152","116849","20102","49517","8227","4434","179012","289755","9735","102711","0","72934","5101","6057","0","0","33997",""
"Not Elsewhere Classified","8713353","8689115","0","0","0","1989","0","0","0","0","10768","0","0","0","0","0","0","0","0","0","11481",""
"Different County, Same State","222856","0","6332","17289","37927","17709","0","15387","0","4434","30549","39198","0","25067","0","17320","0","0","0","0","11644",""
"Different State","173139","0","7421","21485","22598","71549","8436","0","1930","0","0","7613","0","3684","0","11494","0","6057","0","0","10872",""
"Same County","799297","0","56372","92048","59627","25602","11666","34130","6297","0","137695","242944","9735","73960","0","44120","5101","0","0","0","0",""
" -> Total -> Total Hawaii","1362337","1229601","5089","6060","7518","41634","432","10813","1581","849","4901","19254","7790","8380","0","10776","1448","591","624","0","4996",""
"Not Elsewhere Classified","1234250","1229601","928","0","0","0","432","0","0","849","0","1723","0","0","0","0","0","0","0","0","717",""
"Different County, Same State","2276","0","0","0","0","0","0","695","1581","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different State","29686","0","1225","0","1728","25018","0","791","0","0","0","0","0","0","0","0","924","0","0","0","0",""
"Same County","96125","0","2936","6060","5790","16616","0","9327","0","0","4901","17531","7790","8380","0","10776","524","591","624","0","4279",""
" -> Total -> Total Idaho","1708588","1493218","10106","24745","24413","31799","1358","4962","6871","369","9553","25620","2171","20352","6059","20213","5408","0","1842","0","19529",""
"Not Elsewhere Classified","1497976","1493218","0","0","1609","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3149",""
"Different County, Same State","27438","0","1462","3987","4415","1898","414","1539","0","0","1953","837","0","967","0","2677","3694","0","0","0","3595",""
"Different State","47004","0","0","0","13030","22618","0","0","4281","0","3221","0","0","1497","1176","848","333","0","0","0","0",""
"Same County","136170","0","8644","20758","5359","7283","944","3423","2590","369","4379","24783","2171","17888","4883","16688","1381","0","1842","0","12785",""
" -> Total -> Total Illinois","12296091","11159882","45768","163967","120121","89257","15799","93329","0","0","86853","270787","17406","76654","10801","88482","17033","0","7404","0","32548",""
"Not Elsewhere Classified","11179422","11159882","0","11630","0","0","0","0","0","0","0","0","0","0","0","0","7910","0","0","0","0",""
"Different County, Same State","252851","0","0","46799","9663","8491","0","43071","0","0","13048","83816","2581","21962","0","13729","0","0","3214","0","6477",""
"Different State","155822","0","3534","0","82574","44489","15799","3224","0","0","0","0","0","0","0","2753","3449","0","0","0","0",""
"Same County","707996","0","42234","105538","27884","36277","0","47034","0","0","73805","186971","14825","54692","10801","72000","5674","0","4190","0","26071",""
" -> Total -> Total Indiana","6521537","5745322","12143","149608","88278","42388","12397","80660","6215","0","61470","85122","25352","102206","2981","17995","29598","0","16801","0","43001",""
"Not Elsewhere Classified","5746938","5745322","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1616","0","0","0","0",""
"Different County, Same State","164658","0","3504","30747","14415","12082","0","46990","6215","0","7817","6502","0","12550","0","11452","3282","0","0","0","9102",""
"Different State","124078","0","0","22585","30493","23225","12397","0","0","0","0","0","0","11245","0","0","17446","0","0","0","6687",""
"Same County","485863","0","8639","96276","43370","7081","0","33670","0","0","53653","78620","25352","78411","2981","6543","7254","0","16801","0","27212",""
" -> Total -> Total Iowa","2993998","2723291","15484","26900","5952","31302","7660","29853","4637","1835","12170","41659","12114","21774","13646","18156","26480","0","0","0","1085",""
"Not Elsewhere Classified","2725498","2723291","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2207","0","0","0","0",""
"Different County, Same State","49857","0","0","2167","5952","2527","4156","8602","0","1835","0","0","4622","10840","0","0","9156","0","0","0","0",""
"Different State","38292","0","0","2249","0","21607","0","7316","2227","0","0","0","0","1063","0","0","2745","0","0","0","1085",""
"Same County","180351","0","15484","22484","0","7168","3504","13935","2410","0","12170","41659","7492","9871","13646","18156","12372","0","0","0","0",""
" -> Total -> Total Kansas","2862344","2467888","41274","31357","42129","25696","6073","11151","4173","0","12356","102443","14735","42169","2054","13472","15236","0","10039","0","20099",""
"Not Elsewhere Classified","2467888","2467888","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","52580","0","21304","11129","1871","3741","0","0","0","0","0","0","0","1611","0","0","9748","0","0","0","3176",""
"Different State","65043","0","8401","0","9651","12297","0","3476","0","0","0","8103","0","12386","0","0","5488","0","3631","0","1610",""
"Same County","276833","0","11569","20228","30607","9658","6073","7675","4173","0","12356","94340","14735","28172","2054","13472","0","0","6408","0","15313",""
" -> Total -> Total Kentucky","4331690","3894296","42771","95874","109396","28160","13909","34253","5577","0","5368","37105","0","9291","0","17673","0","5966","2798","0","29253",""
"Not Elsewhere Classified","3896234","3894296","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1938",""
"Different County, Same State","104122","0","18218","9937","19896","4646","13909","8589","5577","0","5368","0","0","0","0","2887","0","0","0","0","15095",""
"Different State","115261","0","10672","13792","39879","11410","0","6795","0","0","0","17797","0","7440","0","1510","0","5966","0","0","0",""
"Same County","216073","0","13881","72145","49621","12104","0","18869","0","0","0","19308","0","1851","0","13276","0","0","2798","0","12220",""
" -> Total -> Total Louisiana","4415538","3989278","12478","56941","51340","21161","6252","17630","0","13821","42259","76894","26744","30425","1722","20635","9789","3838","15351","4724","14256",""
"Not Elsewhere Classified","3998056","3989278","0","1386","2663","0","4729","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","86283","0","4005","26104","9509","0","0","8741","0","0","13084","15037","1710","0","0","3437","0","0","1018","0","3638",""
"Different State","69406","0","0","4612","7943","20296","0","0","0","7525","6696","2516","0","0","1722","4190","2859","3838","1511","1967","3731",""
"Same County","261793","0","8473","24839","31225","865","1523","8889","0","6296","22479","59341","25034","30425","0","13008","6930","0","12822","2757","6887",""
" -> Total -> Total Maine","1342074","1238195","8352","4351","17648","10186","0","0","5118","0","2192","18178","2598","4208","2946","19410","1067","0","1235","0","6390",""
"Not Elsewhere Classified","1242523","1238195","0","0","4328","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","13024","0","1291","0","6614","1420","0","0","0","0","0","0","0","0","0","2632","1067","0","0","0","0",""
"Different State","20436","0","0","3086","3620","4398","0","0","5118","0","0","0","1319","0","0","0","0","0","1235","0","1660",""
"Same County","66091","0","7061","1265","3086","4368","0","0","0","0","2192","18178","1279","4208","2946","16778","0","0","0","0","4730",""
" -> Total -> Total Maryland","5905452","5422664","15940","59312","67625","62059","10776","8005","0","5771","15249","55119","40513","28979","0","49422","9191","0","0","0","54827",""
"Not Elsewhere Classified","5464295","5422664","3248","0","0","9646","0","0","0","5771","0","0","0","0","0","2929","0","0","0","0","20037",""
"Different County, Same State","72941","0","3809","0","20752","2170","0","0","0","0","0","0","3727","18245","0","3839","0","0","0","0","20399",""
"Different State","93626","0","0","0","16783","44705","2281","8005","0","0","1946","7046","0","0","0","0","9191","0","0","0","3669",""
"Same County","274590","0","8883","59312","30090","5538","8495","0","0","0","13303","48073","36786","10734","0","42654","0","0","0","0","10722",""
" -> Total -> Total Massachusetts","6769376","6081077","11615","65582","30927","47830","11366","48717","0","2869","23576","177105","6696","38777","0","58354","85145","0","7715","6028","65997",""
"Not Elsewhere Classified","6144012","6081077","0","0","1665","0","1802","0","0","0","0","2651","0","0","0","15757","32836","0","0","6028","2196",""
"Different County, Same State","90063","0","0","7874","10371","6382","0","27487","0","0","0","20180","0","3421","0","7973","3282","0","0","0","3093",""
"Different State","55053","0","2752","0","2257","19653","0","0","0","0","4860","0","0","0","0","0","23270","0","0","0","2261",""
"Same County","480248","0","8863","57708","16634","21795","9564","21230","0","2869","18716","154274","6696","35356","0","34624","25757","0","7715","0","58447",""
" -> Total -> Total Michigan","9754862","8752389","30632","221937","111688","93792","6426","68818","3697","17693","38918","228453","8533","51822","0","59784","10455","0","8069","0","41756",""
"Not Elsewhere Classified","8820635","8752389","0","5071","15843","29119","0","0","0","12670","0","0","0","0","0","0","5543","0","0","0","0",""
"Different County, Same State","258848","0","14277","40121","44557","45092","0","21053","0","0","6668","44750","3189","3913","0","32051","3177","0","0","0","0",""
"Different State","47137","0","0","0","3372","13401","0","26667","3697","0","0","0","0","0","0","0","0","0","0","0","0",""
"Same County","628242","0","16355","176745","47916","6180","6426","21098","0","5023","32250","183703","5344","47909","0","27733","1735","0","8069","0","41756",""
" -> Total -> Total Minnesota","5714750","5150891","17637","87155","87186","15453","27035","26637","25432","19756","24240","136745","9830","18774","0","30673","1869","0","9798","0","25639",""
"Not Elsewhere Classified","5168360","5150891","0","11339","6130","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","232281","0","7395","33532","19229","3902","10690","11566","9124","7864","20264","53037","9830","6287","0","22968","0","0","3097","0","13496",""
"Different State","57408","0","0","3602","15448","11551","0","4190","6644","11892","0","4081","0","0","0","0","0","0","0","0","0",""
"Same County","256701","0","10242","38682","46379","0","16345","10881","9664","0","3976","79627","0","12487","0","7705","1869","0","6701","0","12143",""
" -> Total -> Total Mississippi","2854996","2605612","16049","31755","30931","18868","735","9163","1993","5909","10278","48543","14292","14870","1634","17204","1709","1507","4158","5614","14172",""
"Not Elsewhere Classified","2606970","2605612","0","0","0","1358","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","58145","0","2591","11557","8529","14762","0","3537","1993","5909","0","915","2350","0","1634","0","0","0","1092","0","3276",""
"Different State","34185","0","620","2824","5936","2748","0","0","0","0","0","1507","0","3708","0","0","617","1507","1905","1917","10896",""
"Same County","155696","0","12838","17374","16466","0","735","5626","0","0","10278","46121","11942","11162","0","17204","1092","0","1161","3697","0",""
" -> Total -> Total Missouri","5891872","5291561","14110","77151","88473","44759","0","23068","13452","3160","34436","154209","38839","11794","0","72952","6748","0","3663","0","13497",""
"Not Elsewhere Classified","5311023","5291561","0","0","0","19462","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","189133","0","8742","36861","44960","4166","0","4004","0","0","1740","80061","8599","0","0","0","0","0","0","0","0",""
"Different State","56835","0","5368","0","8017","18869","0","4504","0","3160","0","0","6506","0","0","0","6748","0","3663","0","0",""
"Same County","334881","0","0","40290","35496","2262","0","14560","13452","0","32696","74148","23734","11794","0","72952","0","0","0","0","13497",""
" -> Total -> Total Montana","1021833","911301","3001","5354","26856","13100","1815","2415","1523","2118","14123","15950","2000","2664","652","11526","854","0","2430","0","4151",""
"Not Elsewhere Classified","920779","911301","586","519","8070","0","0","303","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","14136","0","0","0","1496","5353","264","979","431","0","607","0","1123","0","0","1315","854","0","0","0","1714",""
"Different State","23894","0","0","0","9461","7061","965","909","1092","1571","0","0","0","0","0","0","0","0","1658","0","1177",""
"Same County","63024","0","2415","4835","7829","686","586","224","0","547","13516","15950","877","2664","652","10211","0","0","772","0","1260",""
" -> Total -> Total Nebraska","1863315","1656418","6594","43808","8338","32817","6829","15777","0","7211","20907","20454","3025","13281","0","11382","3457","0","0","0","13017",""
"Not Elsewhere Classified","1657212","1656418","794","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","38077","0","1184","2778","585","4741","2474","10757","0","7211","1530","1354","0","2545","0","0","0","0","0","0","2918",""
"Different State","46408","0","1204","1374","3010","28076","1174","0","0","0","0","2695","0","2981","0","1407","2061","0","0","0","2426",""
"Same County","121618","0","3412","39656","4743","0","3181","5020","0","0","19377","16405","3025","7755","0","9975","1396","0","0","0","7673",""
" -> Total -> Total Nevada","2908973","2421045","9529","74975","59382","52179","9734","9206","1955","1382","75938","55283","25279","35692","3050","29555","7818","3131","14821","0","19019",""
"Not Elsewhere Classified","2432648","2421045","0","1382","5207","0","0","0","0","0","0","0","0","0","0","0","5014","0","0","0","0",""
"Different County, Same State","22131","0","0","0","4549","3938","0","0","0","0","1817","0","0","9023","0","0","2804","0","0","0","0",""
"Different State","115400","0","0","9800","8620","34146","7686","0","0","1382","0","10915","2621","2179","0","7871","0","3131","13466","0","13583",""
"Same County","338794","0","9529","63793","41006","14095","2048","9206","1955","0","74121","44368","22658","24490","3050","21684","0","0","1355","0","5436",""
" -> Total -> Total New Hampshire","1321702","1229886","4947","6426","5115","13041","1173","7961","1595","790","7758","9157","1441","12804","0","7053","6107","0","3691","0","2757",""
"Not Elsewhere Classified","1232782","1229886","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2896","0","0","0","0",""
"Different County, Same State","11060","0","863","878","0","1615","0","2555","0","0","0","3348","0","0","0","0","0","0","1801","0","0",""
"Different State","33692","0","0","2942","2576","11426","1173","1071","1595","0","3068","1311","0","892","0","1599","3211","0","852","0","1976",""
"Same County","44168","0","4084","2606","2539","0","0","4335","0","790","4690","4498","1441","11912","0","5454","0","0","1038","0","781",""
" -> Total -> Total New Jersey","8699586","8139722","28612","82490","49623","50987","12331","22438","3190","0","88634","113330","7550","19906","20287","17870","0","0","29588","0","13028",""
"Not Elsewhere Classified","8164789","8139722","4737","0","4543","13098","0","2689","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","83893","0","0","0","4671","13503","0","12918","0","0","7314","26136","0","2631","0","6958","0","0","1958","0","7804",""
"Different State","90188","0","8507","6348","25565","16424","0","0","0","0","21506","0","0","0","2104","0","0","0","6415","0","3319",""
"Same County","360716","0","15368","76142","14844","7962","12331","6831","3190","0","59814","87194","7550","17275","18183","10912","0","0","21215","0","1905",""
" -> Total -> Total New Mexico","1992458","1801752","3970","27189","28167","12540","0","23208","0","4605","8331","47759","505","17223","0","7772","3861","763","1773","0","3040",""
"Not Elsewhere Classified","1802862","1801752","0","0","0","1110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","13866","0","2155","1919","3643","3277","0","0","0","0","0","0","0","942","0","0","0","0","0","0","1930",""
"Different State","22335","0","0","0","2845","7144","0","3729","0","2883","0","0","0","0","0","0","3861","763","0","0","1110",""
"Same County","153395","0","1815","25270","21679","1009","0","19479","0","1722","8331","47759","505","16281","0","7772","0","0","1773","0","0",""
" -> Total -> Total New York","19010609","17778432","46167","124862","106404","89359","24135","77422","6676","2452","117597","212001","17558","127418","4214","95126","31141","0","74405","0","75240",""
"Not Elsewhere Classified","17847803","17778432","8634","2529","8190","4018","16659","0","0","2452","1454","11685","0","0","0","0","6596","0","4609","0","2545",""
"Different County, Same State","267005","0","9853","12813","19456","19316","0","17829","6676","0","27049","48165","1945","52064","0","17253","0","0","34586","0","0",""
"Different State","108406","0","0","0","23999","33890","7476","5180","0","0","4850","0","3389","3201","0","13814","6173","0","2102","0","4332",""
"Same County","787395","0","27680","109520","54759","32135","0","54413","0","0","84244","152151","12224","72153","4214","64059","18372","0","33108","0","68363",""
" -> Total -> Total North Carolina","10430053","9198287","63554","218410","110501","185447","0","66280","6366","3056","89117","143146","39810","52658","0","116994","49580","6591","14287","0","65969",""
"Not Elsewhere Classified","9238375","9198287","5693","0","13024","9348","0","0","0","0","0","0","0","0","0","0","12023","0","0","0","0",""
"Different County, Same State","231749","0","14791","26658","12709","36993","0","27638","0","1481","52536","16371","0","17769","0","14534","2564","0","0","0","7705",""
"Different State","269258","0","9106","0","65987","94353","0","6677","6366","1575","0","15381","20194","9335","0","6896","21201","6591","0","0","5596",""
"Same County","690671","0","33964","191752","18781","44753","0","31965","0","0","36581","111394","19616","25554","0","95564","13792","0","14287","0","52668",""
" -> Total -> Total North Dakota","738996","641989","5104","3919","9837","27766","2093","3483","874","863","9908","13753","1145","3072","0","3641","1515","0","5043","504","4487",""
"Not Elsewhere Classified","645652","641989","0","0","0","929","0","0","0","0","0","0","0","0","0","0","0","0","0","504","2230",""
"Different County, Same State","19656","0","781","196","1923","9612","284","991","874","0","822","0","0","624","0","0","930","0","2011","0","608",""
"Different State","23590","0","888","0","3052","12830","986","1121","0","0","441","897","0","0","0","1014","0","0","2361","0","0",""
"Same County","50098","0","3435","3723","4862","4395","823","1371","0","863","8645","12856","1145","2448","0","2627","585","0","671","0","1649",""
" -> Total -> Total Ohio","11169788","10011601","49281","157645","167546","47397","22525","36764","7294","1975","49052","267009","63122","72463","13700","105075","29447","0","6774","12867","48251",""
"Not Elsewhere Classified","10032999","10011601","1779","9907","0","4492","0","0","0","0","0","2859","0","0","0","0","0","0","0","0","2361",""
"Different County, Same State","282902","0","1887","29681","51244","9813","0","8153","0","1975","3716","113807","0","13199","6381","18877","18852","0","0","0","5317",""
"Different State","150927","0","0","7437","30396","33092","6122","8511","7294","0","0","21191","15867","6468","0","0","7676","0","0","0","6873",""
"Same County","702960","0","45615","110620","85906","0","16403","20100","0","0","45336","129152","47255","52796","7319","86198","2919","0","6774","12867","33700",""
" -> Total -> Total Oklahoma","3879355","3424716","20976","79330","45445","63746","19767","22174","3274","11753","19241","65874","22701","23801","0","19237","4297","3835","18082","0","11106",""
"Not Elsewhere Classified","3427990","3424716","0","0","0","0","0","0","3274","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","124133","0","4843","14074","19250","32701","11159","17890","0","2570","4499","3204","0","2281","0","0","1883","0","3751","0","6028",""
"Different State","52037","0","0","1549","12406","16386","8608","2552","0","4770","0","0","0","0","0","0","0","3835","1931","0","0",""
"Same County","275195","0","16133","63707","13789","14659","0","1732","0","4413","14742","62670","22701","21520","0","19237","2414","0","12400","0","5078",""
" -> Total -> Total Oregon","4243163","3727625","21315","44993","63562","73389","5036","20978","5063","0","20749","92224","16312","55158","2307","52296","9362","12183","7622","0","12989",""
"Not Elsewhere Classified","3746289","3727625","0","0","0","12289","0","0","0","0","0","6375","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","87149","0","9847","0","3918","4889","0","8059","0","0","1827","17273","11362","0","0","11976","858","10259","0","0","6881",""
"Different State","102260","0","5287","0","15295","39672","2766","12919","5063","0","0","3178","0","5735","0","7753","0","1924","0","0","2668",""
"Same County","307465","0","6181","44993","44349","16539","2270","0","0","0","18922","65398","4950","49423","2307","32567","8504","0","7622","0","3440",""
" -> Total -> Total Pennsylvania","12510345","11411425","55988","85991","75121","62776","22518","34114","0","0","177248","285598","0","125177","18771","27480","37369","9533","7178","14704","59354",""
"Not Elsewhere Classified","11445248","11411425","2618","0","2038","0","0","0","0","0","0","0","0","0","0","0","6916","9533","0","12718","0",""
"Different County, Same State","383232","0","26021","17765","13432","10113","0","3803","0","0","28143","122791","0","99216","10287","0","13613","0","0","0","38048",""
"Different State","102161","0","0","18876","7858","27791","22518","0","0","0","0","4417","0","11487","0","0","4442","0","0","0","4772",""
"Same County","579704","0","27349","49350","51793","24872","0","30311","0","0","149105","158390","0","14474","8484","27480","12398","0","7178","1986","16534",""
" -> Total -> Total Rhode Island","1018315","901738","5562","13478","18992","15102","0","420","0","490","22681","6681","5681","5722","560","6857","364","872","2166","1882","9067",""
"Not Elsewhere Classified","902594","901738","0","0","492","0","0","0","0","0","0","0","0","0","0","0","364","0","0","0","0",""
"Different County, Same State","22383","0","0","2463","9321","0","0","0","0","0","2823","0","3936","1162","0","0","0","0","0","0","2678",""
"Different State","31488","0","1968","0","5335","12256","0","0","0","490","4645","0","0","0","0","1768","0","0","2166","1882","978",""
