Source: CPS Annual Social and Economic (March) Supplement 201803
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Previous residence,Recode-Region(Type of Move) recode (MIG_MTR4_RC1)","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
" -> Total","316757840","284746237","1414556","4076406","3504812","3335682","476516","1795900","340680","357257","2304568","5231230","851520","2539514","210090","2139395","896298","211213","568373","170089","1587504",""
" -> Total -> Total Alabama","4605660","4225497","51941","115522","83360","33000","6466","15147","2241","0","5679","14531","2931","12619","0","12334","7678","0","5958","0","10756",""
"Not Elsewhere Classified","4237212","4225497","6779","0","0","0","0","0","0","0","0","0","0","0","0","0","4936","0","0","0","0",""
"Different County, Same State","110750","0","12270","31756","26111","13390","3382","9030","2241","0","0","7862","0","0","0","2695","0","0","983","0","1030",""
"Different State","70549","0","13387","1963","39922","6096","3084","0","0","0","0","0","0","3199","0","0","1866","0","1032","0","0",""
"Same County","187149","0","19505","81803","17327","13514","0","6117","0","0","5679","6669","2931","9420","0","9639","876","0","3943","0","9726",""
" -> Total -> Total Alaska","721113","636263","3240","3545","10052","17065","0","4471","0","2245","2017","5055","9938","7881","0","5871","1895","4440","248","0","6887",""
"Not Elsewhere Classified","643495","636263","538","0","1454","0","0","0","0","0","0","0","4939","0","0","0","0","0","0","0","301",""
"Different County, Same State","8665","0","0","0","1456","2244","0","0","0","0","2017","0","315","0","0","0","0","0","0","0","2633",""
"Different State","18673","0","901","0","2753","9264","0","0","0","0","0","0","0","2599","0","0","1554","501","0","0","1101",""
"Same County","50280","0","1801","3545","4389","5557","0","4471","0","2245","0","5055","4684","5282","0","5871","341","3939","248","0","2852",""
" -> Total -> Total Arizona","7032719","5943140","27954","112016","123613","86141","17737","40722","0","29386","131611","142409","0","138506","16086","63950","9161","32961","43699","0","73627",""
