Source: CPS Annual Social and Economic (March) Supplement 201603
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Previous residence,Recode-Region(Type of Move) recode (MIG_MTR4_RC1)","Total","niu","change in marital status","to establish own household","other family reason","relationship with unmarried partner (boy/girlfriend, fiance, etc.)","new job or job transfer","to look for work or lost job","to be closer to work/easier commute","retired","other job-related reason","wanted to own home, not rent","wanted new or better house/apartment","wanted better neighborhood/less crime","wanted cheaper housing","foreclosure/eviction","other housing reason","to attend or leave college","change of climate","health reasons","natural disaster (hurricane, tornado, etc.)","other reason"
" -> Total","312869088","278052555","1642195","4281860","3649247","3785076","514014","2056611","230030","416952","2052076","6079568","1099472","2847780","298350","2337488","1121590","249938","614736","18099","1521451",""
" -> Total -> Total Alabama","4725681","4154306","44898","64697","100599","34169","2786","26519","1815","1526","26740","79881","30285","52444","5656","56222","8254","0","13578","0","21306",""
"Not Elsewhere Classified","4165371","4154306","0","0","11065","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","109181","0","10699","3959","20373","14107","914","11997","0","0","2131","4018","6593","0","0","18730","8254","0","7406","0","0",""
"Different State","49535","0","2790","0","12398","16132","1872","0","0","0","4349","5611","0","0","0","0","0","0","0","0","6383",""
"Same County","401594","0","31409","60738","56763","3930","0","14522","1815","1526","20260","70252","23692","52444","5656","37492","0","0","6172","0","14923",""
" -> Total -> Total Alaska","704534","609974","5362","3417","14672","21398","276","1843","4062","2471","8049","8365","1534","7714","1055","6171","0","0","521","0","7650",""
"Not Elsewhere Classified","612450","609974","0","0","455","212","276","368","0","923","0","0","0","0","0","0","0","0","0","0","242",""
"Different County, Same State","7268","0","0","0","968","3866","0","394","0","0","1595","0","0","0","0","0","0","0","0","0","445",""
"Different State","20222","0","729","0","2185","10857","0","0","1462","0","1244","1013","0","0","0","214","0","0","0","0","2518",""
"Same County","64594","0","4633","3417","11064","6463","0","1081","2600","1548","5210","7352","1534","7714","1055","5957","0","0","521","0","4445",""
" -> Total -> Total Arizona","6613888","5754748","31548","172312","76119","75381","24787","28251","14334","0","82764","140199","22863","40864","0","93027","4234","0","16991","0","35466",""
"Not Elsewhere Classified","5787648","5754748","12672","0","17334","0","1364","0","0","0","0","0","0","0","0","0","0","0","0","0","1530",""
"Different County, Same State","53408","0","0","0","14755","6131","1491","0","7177","0","11279","8436","0","0","0","1375","1481","0","1283","0","0",""
"Different State","118254","0","0","9578","7860","41145","18570","1324","0","0","0","13834","12320","0","0","6689","0","0","1384","0","5550",""
"Same County","654578","0","18876","162734","36170","28105","3362","26927","7157","0","71485","117929","10543","40864","0","84963","2753","0","14324","0","28386",""
" -> Total -> Total Arkansas","2949162","2607929","31799","69089","40299","16969","16468","4718","4716","0","16024","35029","18282","35453","5270","27568","3215","7376","3035","0","5923",""
"Not Elsewhere Classified","2611309","2607929","0","0","0","3380","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","51928","0","11148","5614","8739","6553","13179","0","0","0","0","3792","0","0","0","0","1271","1007","625","0","0",""
"Different State","79256","0","1863","19560","24461","4455","3289","0","4716","0","0","0","1243","2930","2751","3908","951","6369","0","0","2760",""
"Same County","206669","0","18788","43915","7099","2581","0","4718","0","0","16024","31237","17039","32523","2519","23660","993","0","2410","0","3163",""
" -> Total -> Total California","38125225","34146531","116669","414630","318738","471029","57922","447764","33060","53134","273419","601486","186099","303116","39559","257549","153441","7126","33475","0","210478",""
"Not Elsewhere Classified","34329337","34146531","10672","0","16005","73849","0","17579","0","22008","0","0","9541","0","0","0","13287","0","0","0","19865",""
"Different County, Same State","609154","0","8066","24808","75970","145131","35058","72867","27033","0","17304","34978","9641","36754","0","18879","42742","0","13638","0","46285",""
"Different State","298614","0","3865","2489","33349","142800","21388","14477","0","0","0","0","7464","3962","7192","11228","14224","7126","0","0","29050",""
"Same County","2888120","0","94066","387333","193414","109249","1476","342841","6027","31126","256115","566508","159453","262400","32367","227442","83188","0","19837","0","115278",""
" -> Total -> Total Colorado","5385250","4474188","20473","46345","75076","119512","18621","18053","2929","9889","29893","228767","14545","199138","0","72613","25568","6419","19517","0","3704",""
"Not Elsewhere Classified","4501718","4474188","0","0","4329","0","0","0","0","0","0","0","0","7594","0","0","15607","0","0","0","0",""
"Different County, Same State","239469","0","3556","0","27166","38624","3441","7516","1296","0","16201","45431","0","69978","0","13163","5628","0","3765","0","3704",""
"Different State","228363","0","0","3345","35553","69664","15180","0","0","5947","4237","31290","0","36643","0","0","4333","6419","15752","0","0",""
"Same County","415700","0","16917","43000","8028","11224","0","10537","1633","3942","9455","152046","14545","84923","0","59450","0","0","0","0","0",""
" -> Total -> Total Connecticut","3544540","3195944","16335","62941","9624","52559","0","10846","0","0","35251","48507","0","21828","6525","43462","0","0","8430","0","32288",""
"Not Elsewhere Classified","3220841","3195944","3427","10369","0","8191","0","0","0","0","0","0","0","0","0","0","0","0","2910","0","0",""
"Different County, Same State","65614","0","4378","26486","0","13990","0","10846","0","0","0","4904","0","0","0","5010","0","0","0","0","0",""
"Different State","43962","0","0","1120","0","14074","0","0","0","0","22726","0","0","0","0","0","0","0","2950","0","3092",""
"Same County","214123","0","8530","24966","9624","16304","0","0","0","0","12525","43603","0","21828","6525","38452","0","0","2570","0","29196",""
" -> Total -> Total Delaware","933617","836768","1244","18043","7479","10519","883","2663","5829","398","14170","11276","3798","5549","2133","1485","2329","1267","1185","0","6599",""
"Not Elsewhere Classified","846767","836768","421","0","0","3338","883","0","0","0","0","0","1614","2680","0","0","761","0","0","0","302",""
"Different County, Same State","1004","0","0","0","0","0","0","0","1004","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different State","20939","0","0","5040","1878","3584","0","1352","2120","398","0","1418","0","0","0","0","1124","1267","311","0","2447",""
"Same County","64907","0","823","13003","5601","3597","0","1311","2705","0","14170","9858","2184","2869","2133","1485","444","0","874","0","3850",""
" -> Total -> Total District of Columbia","657130","558422","1530","5243","6515","25419","2494","6878","601","1999","4214","12643","2821","6267","146","8429","8488","0","460","0","4561",""
"Not Elsewhere Classified","573812","558422","0","0","2051","4090","361","0","0","1507","0","850","0","791","0","0","3965","0","0","0","1775",""
"Different County, Same State","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different State","26221","0","1014","1754","2251","10163","1585","2676","0","492","151","638","542","436","146","361","3178","0","0","0","834",""
"Same County","57097","0","516","3489","2213","11166","548","4202","601","0","4063","11155","2279","5040","0","8068","1345","0","460","0","1952",""
" -> Total -> Total Florida","19364238","17411987","74415","255512","163912","265396","13522","86982","21002","76446","118641","251167","48895","123373","34322","139905","34701","52625","102227","0","89208",""
"Not Elsewhere Classified","17502884","17411987","3888","0","37361","12728","2802","3454","0","0","4275","0","4646","0","0","0","3899","0","7138","0","10706",""
"Different County, Same State","445092","0","11188","50256","47006","109387","0","25876","7275","8356","21049","25003","21008","28622","3872","26056","2887","13146","24919","0","19186",""
"Different State","319136","0","15032","26495","42131","98730","7185","0","6893","6877","11470","0","8220","3521","0","9370","10306","35851","31853","0","5202",""
"Same County","1097126","0","44307","178761","37414","44551","3535","57652","6834","61213","81847","226164","15021","91230","30450","104479","17609","3628","38317","0","54114",""
" -> Total -> Total Georgia","9973586","8846295","24602","176487","94406","64396","2324","88409","0","13166","55425","216777","65441","156547","10751","82910","26443","0","3792","0","45415",""
"Not Elsewhere Classified","8857073","8846295","0","2685","0","1799","0","0","0","6294","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","216835","0","3607","44499","11144","21555","2324","24383","0","0","18874","5827","15429","17289","0","33037","11558","0","0","0","7309",""
"Different State","108422","0","0","10983","19790","38089","0","12545","0","6872","0","3591","3922","7741","0","0","2910","0","1979","0","0",""
"Same County","791256","0","20995","118320","63472","2953","0","51481","0","0","36551","207359","46090","131517","10751","49873","11975","0","1813","0","38106",""
" -> Total -> Total Hawaii","1347553","1179922","3564","24878","24278","31036","655","3176","0","5876","6166","15448","3124","4600","0","20207","334","4048","2610","0","17631",""
"Not Elsewhere Classified","1192836","1179922","0","0","5007","3899","323","0","0","0","0","0","0","0","0","853","334","1497","0","0","1001",""
"Different County, Same State","5780","0","0","0","3718","0","0","0","0","805","0","0","0","0","0","586","0","0","671","0","0",""
"Different State","43260","0","3564","2015","5917","16697","332","0","0","5071","703","0","0","0","0","1978","0","1680","0","0","5303",""
"Same County","105677","0","0","22863","9636","10440","0","3176","0","0","5463","15448","3124","4600","0","16790","0","871","1939","0","11327",""
" -> Total -> Total Idaho","1654180","1426673","17340","35738","30390","17831","2163","6146","2392","4169","14894","42293","4949","11685","0","21851","3296","0","0","0","12370",""
"Not Elsewhere Classified","1437410","1426673","0","0","0","1814","0","0","0","0","0","8923","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","24237","0","1731","5014","7925","1334","663","0","0","2039","890","0","0","0","0","0","861","0","0","0","3780",""
"Different State","51313","0","2252","2834","10838","12540","817","1845","863","2130","1507","3518","4949","3516","0","0","1583","0","0","0","2121",""
"Same County","141220","0","13357","27890","11627","2143","683","4301","1529","0","12497","29852","0","8169","0","21851","852","0","0","0","6469",""
" -> Total -> Total Illinois","12390053","11212991","52470","172533","147498","71848","12326","56389","6734","3239","58844","307914","16258","117501","10207","45840","36021","0","13231","0","48209",""
"Not Elsewhere Classified","11256161","11212991","3837","0","12037","11189","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16107",""
"Different County, Same State","259550","0","0","72824","28071","19636","1587","14821","0","0","4863","79977","0","3512","1415","13456","11908","0","0","0","7480",""
"Different State","74458","0","0","0","9846","34299","7444","11152","0","3239","0","0","0","0","0","0","5087","0","3391","0","0",""
"Same County","799884","0","48633","99709","97544","6724","3295","30416","6734","0","53981","227937","16258","113989","8792","32384","19026","0","9840","0","24622",""
" -> Total -> Total Indiana","6471110","5700982","79017","94462","106755","90464","8773","15764","0","10427","24652","133698","39118","58293","0","44532","24982","0","21702","3534","13955",""
"Not Elsewhere Classified","5725379","5700982","0","0","7041","10990","0","0","0","0","0","0","0","0","0","0","6366","0","0","0","0",""
"Different County, Same State","125197","0","1685","17362","3018","19803","8773","0","0","0","0","10007","5595","22288","0","11945","8031","0","3277","3534","9879",""
"Different State","105626","0","1926","0","26803","39398","0","12979","0","10427","0","0","1546","7504","0","1757","0","0","3286","0","0",""
"Same County","514908","0","75406","77100","69893","20273","0","2785","0","0","24652","123691","31977","28501","0","30830","10585","0","15139","0","4076",""
" -> Total -> Total Iowa","3119604","2793898","17241","37653","53174","21960","0","4877","0","9167","8415","86132","7788","19984","0","15935","13335","0","2114","0","27931",""
"Not Elsewhere Classified","2800418","2793898","0","0","2295","0","0","0","0","0","0","0","0","0","0","0","4225","0","0","0","0",""
"Different County, Same State","78384","0","2346","20204","11630","9616","0","2159","0","0","0","9176","0","0","0","0","9110","0","0","0","14143",""
"Different State","36721","0","0","0","5532","8117","0","0","0","9167","0","9442","0","1930","0","0","0","0","0","0","2533",""
"Same County","204081","0","14895","17449","33717","4227","0","2718","0","0","8415","67514","7788","18054","0","15935","0","0","2114","0","11255",""
" -> Total -> Total Kansas","2766846","2366637","12414","34616","18576","19721","2343","24403","8774","7478","24876","116291","2934","60780","0","31054","4674","10253","1833","1794","17395",""
"Not Elsewhere Classified","2367614","2366637","0","0","0","977","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","84472","0","912","8947","7309","3543","2343","14861","0","7478","3870","0","2934","18323","0","4123","1257","0","0","0","8572",""
"Different State","44642","0","1998","3128","3446","14263","0","1029","0","0","2436","2657","0","0","0","6617","1950","7118","0","0","0",""
"Same County","270118","0","9504","22541","7821","938","0","8513","8774","0","18570","113634","0","42457","0","20314","1467","3135","1833","1794","8823",""
" -> Total -> Total Kentucky","4411040","3927089","10166","106154","109848","73924","2698","31233","1795","7714","24335","41432","0","22209","0","20043","8506","3031","6827","0","14036",""
"Not Elsewhere Classified","3960879","3927089","0","0","1586","32204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","144341","0","0","21701","52745","13041","0","3598","0","0","17564","9594","0","0","0","8370","4847","0","0","0","12881",""
"Different State","96637","0","5458","10701","18133","28679","0","14767","1795","5931","0","0","0","1211","0","3335","0","3031","2441","0","1155",""
"Same County","209183","0","4708","73752","37384","0","2698","12868","0","1783","6771","31838","0","20998","0","8338","3659","0","4386","0","0",""
" -> Total -> Total Louisiana","4447740","3900649","15731","113239","59253","52957","4436","43075","0","8373","6740","53796","21235","45113","6217","35821","25041","0","15051","2432","38581",""
"Not Elsewhere Classified","3920406","3900649","0","0","0","17344","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2413",""
"Different County, Same State","113273","0","0","39583","9705","12723","1465","10176","0","0","1449","2196","2788","2676","4005","10373","2514","0","4142","0","9478",""
"Different State","86339","0","1906","9177","20296","16052","0","4357","0","3289","0","0","0","7965","0","0","7586","0","3899","0","11812",""
"Same County","327722","0","13825","64479","29252","6838","2971","28542","0","5084","5291","51600","18447","34472","2212","25448","14941","0","7010","2432","14878",""
" -> Total -> Total Maine","1325294","1245157","9716","9510","16574","12164","0","12427","0","0","0","9645","0","1258","825","2610","5408","0","0","0","0",""
"Not Elsewhere Classified","1245157","1245157","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","29225","0","8449","4559","2391","1399","0","12427","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different State","16975","0","0","0","1194","9115","0","0","0","0","0","0","0","1258","0","0","5408","0","0","0","0",""
"Same County","33937","0","1267","4951","12989","1650","0","0","0","0","0","9645","0","0","825","2610","0","0","0","0","0",""
" -> Total -> Total Maryland","5800561","5278623","22223","36053","66905","53538","0","25056","3584","7898","59899","94390","3919","39503","13986","21921","19638","0","0","0","53425",""
"Not Elsewhere Classified","5300192","5278623","3615","0","2060","2526","0","0","0","3515","0","0","0","0","0","0","0","0","0","0","9853",""
"Different County, Same State","109679","0","4445","3713","20147","0","0","10903","3584","0","20017","5617","3919","5708","0","0","7770","0","0","0","23856",""
"Different State","88498","0","3002","0","11052","46679","0","3262","0","4383","3666","4741","0","0","0","0","3726","0","0","0","7987",""
"Same County","302192","0","11161","32340","33646","4333","0","10891","0","0","36216","84032","0","33795","13986","21921","8142","0","0","0","11729",""
" -> Total -> Total Massachusetts","6701566","5829097","45063","109132","71162","48316","8250","49275","3127","0","82152","194456","7219","62878","0","86328","35221","0","20681","0","49209",""
"Not Elsewhere Classified","5889836","5829097","1321","0","4175","25215","0","11392","0","0","0","0","0","0","0","0","15321","0","0","0","3315",""
"Different County, Same State","249502","0","9923","30914","29392","1875","2943","34939","3127","0","49522","24006","4279","13012","0","21035","4900","0","0","0","19635",""
"Different State","49718","0","0","3470","10690","14066","2940","0","0","0","3059","0","0","2063","0","2139","11291","0","0","0","0",""
"Same County","512510","0","33819","74748","26905","7160","2367","2944","0","0","29571","170450","2940","47803","0","63154","3709","0","20681","0","26259",""
" -> Total -> Total Michigan","9586126","8617133","85610","115374","83965","73394","3849","84817","7159","2961","56292","195562","29510","64372","24276","47142","30470","0","30577","0","33663",""
"Not Elsewhere Classified","8626681","8617133","0","0","2187","3471","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3890",""
"Different County, Same State","194365","0","41172","7773","48183","27516","0","12051","0","0","9601","21728","3594","9353","2980","1767","5232","0","0","0","3415",""
"Different State","54362","0","1448","0","16586","9840","0","0","0","2961","0","9928","0","0","0","1873","1721","0","0","0","10005",""
"Same County","710718","0","42990","107601","17009","32567","3849","72766","7159","0","46691","163906","25916","55019","21296","43502","23517","0","30577","0","16353",""
" -> Total -> Total Minnesota","5448250","4833588","24046","86069","68216","72732","12415","50237","0","10231","14908","137573","15145","78653","0","10481","0","3385","15811","0","14760",""
"Not Elsewhere Classified","4840762","4833588","1644","0","0","0","0","0","0","0","0","0","5530","0","0","0","0","0","0","0","0",""
"Different County, Same State","163220","0","5644","12044","37637","16293","0","9353","0","3596","3431","18188","3231","44240","0","0","0","3385","6178","0","0",""
"Different State","73381","0","0","2291","0","40920","12415","0","0","6635","0","0","0","0","0","0","0","0","0","0","11120",""
"Same County","370887","0","16758","71734","30579","15519","0","40884","0","0","11477","119385","6384","34413","0","10481","0","0","9633","0","3640",""
" -> Total -> Total Mississippi","2858024","2510618","17806","73639","75246","22453","11450","12284","0","2562","16858","29957","2512","11467","5217","25969","28681","0","3851","0","7454",""
"Not Elsewhere Classified","2510618","2510618","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","67640","0","3313","15574","15778","11046","3557","669","0","2562","0","4699","0","2829","1466","2760","0","0","1243","0","2144",""
"Different State","58356","0","1943","2652","14498","4784","7091","0","0","0","0","0","0","775","0","3733","18318","0","2608","0","1954",""
"Same County","221410","0","12550","55413","44970","6623","802","11615","0","0","16858","25258","2512","7863","3751","19476","10363","0","0","0","3356",""
" -> Total -> Total Missouri","5878480","5154751","24567","39903","46056","37982","27640","11747","0","16527","39821","223229","51402","66698","0","67016","0","0","30235","0","40906",""
"Not Elsewhere Classified","5176807","5154751","0","0","0","0","3756","0","0","16527","0","0","0","0","0","0","0","0","1773","0","0",""
"Different County, Same State","182312","0","2636","26445","7121","7125","9695","3816","0","0","18693","27361","17371","23159","0","6286","0","0","0","0","32604",""
"Different State","118225","0","5148","5346","5407","27413","8034","7931","0","0","7096","0","0","18380","0","3182","0","0","28462","0","1826",""
"Same County","401136","0","16783","8112","33528","3444","6155","0","0","0","14032","195868","34031","25159","0","57548","0","0","0","0","6476",""
" -> Total -> Total Montana","1013578","855030","4959","13589","15150","25138","1458","5297","3378","932","18076","12757","516","13138","0","18675","4061","2300","8721","0","10403",""
"Not Elsewhere Classified","860938","855030","0","0","1426","3457","0","0","0","0","0","0","0","0","0","0","1025","0","0","0","0",""
"Different County, Same State","27661","0","1414","0","4923","9101","851","949","0","932","349","1878","224","666","0","1917","0","0","3322","0","1135",""
"Different State","19248","0","658","0","3180","7287","607","0","1359","0","1368","722","0","0","0","373","1068","0","1041","0","1585",""
"Same County","105731","0","2887","13589","5621","5293","0","4348","2019","0","16359","10157","292","12472","0","16385","1968","2300","4358","0","7683",""
" -> Total -> Total Nebraska","1863454","1685535","7505","9817","14218","21105","3449","21110","0","5488","12645","34314","0","11740","0","14066","4366","0","2140","0","15956",""
"Not Elsewhere Classified","1696031","1685535","0","0","1125","0","0","0","0","0","0","1889","0","0","0","0","682","0","0","0","6800",""
"Different County, Same State","49718","0","1912","3940","1162","12304","1162","5935","0","1489","0","7444","0","8211","0","0","2940","0","1098","0","2121",""
"Different State","25809","0","1155","0","2176","8801","2287","7829","0","2229","0","1332","0","0","0","0","0","0","0","0","0",""
"Same County","91896","0","4438","5877","9755","0","0","7346","0","1770","12645","23649","0","3529","0","14066","744","0","1042","0","7035",""
" -> Total -> Total Nevada","2797458","2370304","8054","46612","45573","42906","7707","24842","5987","3147","28682","100733","23139","48294","0","19350","7169","9149","0","5810","0",""
"Not Elsewhere Classified","2389536","2370304","0","11461","5528","0","0","0","0","0","0","0","0","0","0","0","2243","0","0","0","0",""
"Different County, Same State","16723","0","0","0","1823","1823","3892","0","4046","0","0","0","0","3221","0","0","1918","0","0","0","0",""
"Different State","59014","0","893","2296","7914","30514","1880","0","1941","0","0","1558","0","1637","0","0","1232","9149","0","0","0",""
"Same County","332185","0","7161","32855","30308","10569","1935","24842","0","3147","28682","99175","23139","43436","0","19350","1776","0","0","5810","0",""
" -> Total -> Total New Hampshire","1241920","1156396","2075","5821","15368","6131","0","709","0","0","8510","13490","2517","9059","3768","4648","4966","0","0","0","8462",""
"Not Elsewhere Classified","1157074","1156396","0","0","678","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","17630","0","0","1139","5760","868","0","0","0","0","1683","0","0","4116","0","458","1185","0","0","0","2421",""
"Different State","17910","0","0","0","4392","4399","0","709","0","0","0","1594","0","0","1471","796","2935","0","0","0","1614",""
"Same County","49306","0","2075","4682","4538","864","0","0","0","0","6827","11896","2517","4943","2297","3394","846","0","0","0","4427",""
" -> Total -> Total New Jersey","8891904","8032696","73353","78654","72393","172470","0","31815","6933","8812","58312","162659","4440","52193","0","83824","14590","0","10202","0","28558",""
"Not Elsewhere Classified","8130015","8032696","19864","0","2539","66104","0","0","0","8812","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","120360","0","15232","12863","5761","47208","0","0","0","0","3443","35853","0","0","0","0","0","0","0","0","0",""
"Different State","164136","0","0","3813","35927","40133","0","14715","3527","0","24551","0","0","13480","0","17241","10749","0","0","0","0",""
"Same County","477393","0","38257","61978","28166","19025","0","17100","3406","0","30318","126806","4440","38713","0","66583","3841","0","10202","0","28558",""
" -> Total -> Total New Mexico","2009737","1820754","9204","29210","36136","18700","3855","9984","0","4167","7292","11574","2651","13766","2197","17894","5640","803","1385","2118","12407",""
"Not Elsewhere Classified","1823119","1820754","0","0","0","825","0","0","0","0","0","0","0","0","0","0","1540","0","0","0","0",""
"Different County, Same State","31637","0","0","1683","10552","3307","1986","6513","0","0","1976","0","0","533","0","3568","0","0","0","0","1519",""
"Different State","34102","0","680","6151","8855","9781","0","0","0","4167","0","0","0","0","0","418","1463","0","1385","0","1202",""
"Same County","120879","0","8524","21376","16729","4787","1869","3471","0","0","5316","11574","2651","13233","2197","13908","2637","803","0","2118","9686",""
" -> Total -> Total New York","18972695","17672458","43464","211649","100828","175812","4552","37758","7444","3734","63742","276276","18254","125269","16294","43940","68267","4294","41575","0","57085",""
"Not Elsewhere Classified","17732469","17672458","2326","3779","15642","12688","0","0","0","0","0","0","0","0","0","0","21434","0","0","0","4142",""
"Different County, Same State","306287","0","4096","58933","8377","56477","4552","7941","0","3734","31040","56384","9251","1659","10727","4039","0","4294","20600","0","24183",""
"Different State","162104","0","7781","3800","16657","64111","0","3436","0","0","0","5163","0","37288","0","0","23868","0","0","0","0",""
"Same County","771835","0","29261","145137","60152","42536","0","26381","7444","0","32702","214729","9003","86322","5567","39901","22965","0","20975","0","28760",""
" -> Total -> Total North Carolina","9788556","8613139","48498","183535","89481","174098","15428","56382","0","31074","73212","125362","36780","86490","0","65280","81247","12953","0","0","95597",""
"Not Elsewhere Classified","8673532","8613139","11203","0","0","18088","2771","0","0","0","0","0","0","0","0","0","26072","0","0","0","2259",""
"Different County, Same State","362154","0","11136","60065","36741","53557","0","30692","0","8608","37000","11759","14658","19269","0","8354","21486","6759","0","0","42070",""
"Different State","192954","0","9970","3635","21400","87336","3830","0","0","16874","0","5337","0","3815","0","2090","29779","0","0","0","8888",""
"Same County","559916","0","16189","119835","31340","15117","8827","25690","0","5592","36212","108266","22122","63406","0","54836","3910","6194","0","0","42380",""
" -> Total -> Total North Dakota","757078","655137","953","19189","8023","8915","3964","13448","0","0","4007","10466","2248","13247","437","8782","3586","0","1099","0","3577",""
"Not Elsewhere Classified","657912","655137","0","173","0","736","0","1866","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","22843","0","423","4749","1083","1792","3478","5292","0","0","976","768","0","0","0","2742","1017","0","0","0","523",""
"Different State","17728","0","530","959","2190","4611","486","0","0","0","0","1544","0","0","0","2001","2569","0","366","0","2472",""
"Same County","58595","0","0","13308","4750","1776","0","6290","0","0","3031","8154","2248","13247","437","4039","0","0","733","0","582",""
" -> Total -> Total Ohio","11456905","10142586","65503","155414","143919","72556","27284","43282","0","21527","54030","318637","62836","117217","33189","99685","58641","4415","0","0","36184",""
"Not Elsewhere Classified","10168555","10142586","0","0","8466","4485","0","0","0","9276","0","0","0","0","0","0","3742","0","0","0","0",""
"Different County, Same State","259268","0","18409","30692","27152","16899","0","3699","0","6847","6680","75883","6861","0","9263","15448","26825","0","0","0","14610",""
"Different State","140686","0","3177","0","45743","40001","10817","13707","0","2170","0","3855","0","0","0","0","16801","4415","0","0","0",""
"Same County","888396","0","43917","124722","62558","11171","16467","25876","0","3234","47350","238899","55975","117217","23926","84237","11273","0","0","0","21574",""
" -> Total -> Total Oklahoma","3835944","3395836","48347","98847","38465","13474","7258","35900","0","0","10005","27455","26100","69968","2784","32359","8987","0","10083","0","10076",""
"Not Elsewhere Classified","3398674","3395836","792","0","0","0","0","0","0","0","0","0","0","0","0","0","2046","0","0","0","0",""
"Different County, Same State","124905","0","21498","25104","25950","4267","1940","13149","0","0","0","2648","0","9866","0","8682","6941","0","0","0","4860",""
"Different State","42905","0","9505","10403","3804","5524","0","0","0","0","0","0","0","11877","0","0","0","0","0","0","1792",""
"Same County","269460","0","16552","63340","8711","3683","5318","22751","0","0","10005","24807","26100","48225","2784","23677","0","0","10083","0","3424",""
" -> Total -> Total Oregon","3994701","3394582","14540","48950","67105","115162","19047","50214","7280","2350","26269","86112","17427","44564","21616","31912","15695","2225","0","0","29651",""
"Not Elsewhere Classified","3410900","3394582","0","0","6115","0","0","0","0","2350","0","2158","0","0","0","0","0","0","0","0","5695",""
"Different County, Same State","108470","0","4761","1351","15967","28866","0","21321","0","0","0","11779","0","14006","5367","1047","0","0","0","0","4005",""
