Source: CPS Annual Social and Economic (March) Supplement 201603
Weight used: FSUP_WGT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","main reason for moving (NXTRES)","","","","","","","","","","","","","","","","","","","","",""
"Different State","181928","0","0","5669","29936","62503","17950","9962","5043","0","0","14721","0","5580","1266","13040","3229","2225","0","0","10804",""
"Same County","293403","0","9779","41930","15087","23793","1097","18931","2237","0","26269","57454","17427","24978","14983","17825","12466","0","0","0","9147",""
" -> Total -> Total Pennsylvania","12174812","10998837","86661","132233","162993","106821","1900","40381","9904","0","122679","227456","45220","75893","6556","62591","15359","0","29835","0","49493",""
"Not Elsewhere Classified","11025209","10998837","0","3341","0","0","0","0","0","0","17591","3650","0","0","0","0","0","0","0","0","1790",""
"Different County, Same State","314502","0","6424","31443","67522","35015","0","16143","0","0","27492","49042","15550","20867","3057","13733","11133","0","0","0","17081",""
"Different State","95264","0","0","0","12648","29262","0","0","0","0","0","0","23591","3818","0","6166","0","0","13462","0","6317",""
"Same County","739837","0","80237","97449","82823","42544","1900","24238","9904","0","77596","174764","6079","51208","3499","42692","4226","0","16373","0","24305",""
" -> Total -> Total Rhode Island","990393","885582","11212","19634","12061","8922","909","3798","1854","0","3108","15716","6790","4039","0","10084","5724","0","960","0","0",""
"Not Elsewhere Classified","885582","885582","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Different County, Same State","11283","0","884","6787","0","0","0","0","0","0","803","2809","0","0","0","0","0","0","0","0","0",""
