date,Metro,State,Net flow
2017/7/1,Dallas,TX,1873
2017/7/1,Nashville,TN,1653
2017/7/1,Tampa,FL,1517
2017/7/1,Austin,TX,1488
2017/7/1,Philadelphia,PA,1472
2017/7/1,Raleigh,NC,1333
2017/7/1,Miami,FL,1324
2017/7/1,Charlotte,NC,1273
2017/7/1,Bend,OR,1052
2017/7/1,Portland,OR,983
2017/7/1,San Antonio,TX,914
2017/7/1,Bellingham,WA,835
2017/7/1,San Luis Obispo,CA,689
2017/7/1,Reno,NV,646
2017/7/1,Salt Lake City,UT,633
2017/7/1,Colorado Springs,CO,618
2017/7/1,Portland,ME,576
2017/7/1,Jacksonville,FL,539
2017/7/1,Cape Coral,FL,529
2017/7/1,Modesto,CA,524
2017/7/1,Salinas,CA,509
2017/7/1,North Port,FL,468
2017/7/1,Santa Maria,CA,418
2017/7/1,Pittsburgh,PA,365
2017/7/1,Bakersfield,CA,356
2017/7/1,Urban Honolulu,HI,354
2017/7/1,Tucson,AZ,352
2017/7/1,Minneapolis,MN,349
2017/7/1,Orlando,FL,345
2017/7/1,Albuquerque,NM,303
2017/7/1,Fresno,CA,297
2017/7/1,Eugene,OR,287
2017/7/1,Virginia Beach,VA,287
2017/7/1,Richmond,VA,269
2017/7/1,Cleveland,OH,259
2017/7/1,Grand Rapids,MI,243
2017/7/1,Charleston,SC,230
2017/7/1,Seattle,WA,214
2017/7/1,Indianapolis,IN,204
2017/7/1,Kansas City,MO,192
2017/7/1,Fort Collins,CO,172
2017/7/1,Columbus,OH,168
2017/7/1,Madison,WI,166
2017/7/1,New Orleans,LA,114
2017/7/1,Buffalo,NY,113
2017/7/1,Memphis,TN,101
2017/7/1,Cincinnati,OH,82
2017/7/1,Greensboro,NC,72
2017/7/1,Oklahoma City,OK,56
2017/7/1,Albany,NY,54
2017/7/1,Baton Rouge,LA,48
2017/7/1,St. Louis,MO,42
2017/7/1,Greenville,SC,35
2017/7/1,Birmingham,AL,24
2017/7/1,Louisville,KY,23
2017/7/1,Knoxville,TN,14
2017/7/1,Little Rock,AR,-3
2017/7/1,Tulsa,OK,-5
2017/7/1,Rochester,NY,-16
2017/7/1,Omaha,NE,-28
2017/7/1,Dayton,OH,-42
2017/7/1,Milwaukee,WI,-152
2017/7/1,Denver,CO,-163
2017/7/1,Detroit,MI,-322
2017/7/1,Houston,TX,-328
2017/7/1,Chicago,IL,-2125
2017/7/1,Washington,DC,-5677
2017/7/1,Los Angeles,CA,-15889
2017/7/1,New York,NY,-16647
2017/7/1,San Jose,CA,-16952
2017/10/1,Sacramento,CA,4586
2017/10/1,San Diego,CA,3776
2017/10/1,Las Vegas,NV,3583
2017/10/1,Phoenix,AZ,3549
2017/10/1,Atlanta,GA,3097
2017/10/1,Dallas,TX,2074
2017/10/1,Boston,MA,1811
2017/10/1,Portland,OR,1700
2017/10/1,Austin,TX,1609
2017/10/1,Nashville,TN,1587
2017/10/1,Philadelphia,PA,1452
2017/10/1,Tampa,FL,1354
2017/10/1,Raleigh,NC,1343
2017/10/1,Charlotte,NC,1167
2017/10/1,Miami,FL,1105
2017/10/1,San Antonio,TX,863
2017/10/1,Reno,NV,708
2017/10/1,Bend,OR,695
2017/10/1,North Port,FL,636
2017/10/1,Salt Lake City,UT,627
2017/10/1,Cape Coral,FL,610
2017/10/1,Colorado Springs,CO,559
2017/10/1,San Luis Obispo,CA,512
2017/10/1,Tucson,AZ,489
2017/10/1,Pittsburgh,PA,479
2017/10/1,Bellingham,WA,463
2017/10/1,Jacksonville,FL,460
2017/10/1,Portland,ME,438
2017/10/1,Minneapolis,MN,421
2017/10/1,Albuquerque,NM,404
2017/10/1,Bakersfield,CA,391
2017/10/1,Modesto,CA,330
2017/10/1,Salinas,CA,329
2017/10/1,Fresno,CA,294
2017/10/1,Urban Honolulu,HI,281
2017/10/1,Cleveland,OH,277
2017/10/1,Charleston,SC,241
2017/10/1,Virginia Beach,VA,238
2017/10/1,Grand Rapids,MI,233
2017/10/1,Orlando,FL,233
2017/10/1,Columbus,OH,220
2017/10/1,Richmond,VA,214
2017/10/1,Santa Maria,CA,205
2017/10/1,Indianapolis,IN,189
2017/10/1,Kansas City,MO,169
2017/10/1,Fort Collins,CO,155
2017/10/1,New Orleans,LA,151
2017/10/1,Madison,WI,121
2017/10/1,Memphis,TN,111
2017/10/1,Buffalo,NY,101
2017/10/1,Greensboro,NC,78
2017/10/1,Cincinnati,OH,74
2017/10/1,Albany,NY,71
2017/10/1,Eugene,OR,47
2017/10/1,Greenville,SC,43
2017/10/1,Oklahoma City,OK,43
2017/10/1,St. Louis,MO,43
2017/10/1,Knoxville,TN,38
2017/10/1,Denver,CO,20
2017/10/1,Tulsa,OK,20
2017/10/1,Baton Rouge,LA,13
2017/10/1,Birmingham,AL,12
2017/10/1,Louisville,KY,9
2017/10/1,Little Rock,AR,-2
2017/10/1,Omaha,NE,-35
2017/10/1,South Bend,IN,-40
2017/10/1,Dayton,OH,-50
2017/10/1,Rochester,NY,-56
2017/10/1,Seattle,WA,-146
2017/10/1,Detroit,MI,-222
2017/10/1,Milwaukee,WI,-247
2017/10/1,Houston,TX,-376
2017/10/1,Chicago,IL,-1786
2017/10/1,Washington,DC,-4443
2017/10/1,Los Angeles,CA,-14240
2017/10/1,New York,NY,-15474
2017/10/1,San Jose,CA,-17168
2018/1/1,Phoenix,AZ,4117
2018/1/1,Sacramento,CA,3169
2018/1/1,Las Vegas,NV,2925
2018/1/1,Atlanta,GA,2713
2018/1/1,Miami,FL,2295
2018/1/1,Austin,TX,1807
2018/1/1,Dallas,TX,1556
2018/1/1,Portland,OR,1511
2018/1/1,Tampa,FL,1187
2018/1/1,San Diego,CA,1159
