date,Metro,State,Net flow
2019/4/1,Kahului,HI,579
2019/4/1,Colorado Springs,CO,562
2019/4/1,Salt Lake City,UT,556
2019/4/1,Virginia Beach,VA,549
2019/4/1,Salisbury,MD,499
2019/4/1,Pittsburgh,PA,491
2019/4/1,Fort Collins,CO,480
2019/4/1,Cleveland,OH,470
2019/4/1,Bellingham,WA,467
2019/4/1,Memphis,TN,429
2019/4/1,Myrtle Beach,SC,416
2019/4/1,Grand Rapids,MI,403
2019/4/1,Allentown,PA,401
2019/4/1,Greensboro,NC,383
2019/4/1,Salinas,CA,367
2019/4/1,Fresno,CA,364
2019/4/1,St. Louis,MO,338
2019/4/1,Minneapolis,MN,314
2019/4/1,Kansas City,MO,287
2019/4/1,Madison,WI,276
2019/4/1,Greenville,SC,200
2019/4/1,Oklahoma City,OK,200
2019/4/1,Buffalo,NY,196
2019/4/1,Cincinnati,OH,188
2019/4/1,Asheville,NC,177
2019/4/1,Rochester,NY,171
2019/4/1,Spokane,WA,171
2019/4/1,Knoxville,TN,150
2019/4/1,Harrisburg,PA,132
2019/4/1,Columbia,SC,107
2019/4/1,Tulsa,OK,90
2019/4/1,Birmingham,AL,84
2019/4/1,Albany,NY,77
2019/4/1,Columbus,OH,63
2019/4/1,El Paso,TX,47
2019/4/1,Burlington,VT,35
2019/4/1,Clarksville,TN,31
2019/4/1,Little Rock,AR,24
2019/4/1,Kalamazoo,MI,19
2019/4/1,Baton Rouge,LA,10
2019/4/1,Louisville,KY,1
2019/4/1,Omaha,NE,-57
2019/4/1,Syracuse,NY,-58
2019/4/1,Lexington,KY,-83
2019/4/1,Santa Maria,CA,-140
2019/4/1,Dayton,OH,-146
2019/4/1,McAllen,TX,-205
2019/4/1,Des Moines,IA,-238
2019/4/1,Chico,CA,-276
2019/4/1,Indianapolis,IN,-335
2019/4/1,Eugene,OR,-379
2019/4/1,South Bend,IN,-391
2019/4/1,Seattle,WA,-392
2019/4/1,Champaign,IL,-412
2019/4/1,Rockford,IL,-431
2019/4/1,Richmond,VA,-438
2019/4/1,Detroit,MI,-559
2019/4/1,Houston,TX,-729
2019/4/1,Milwaukee,WI,-1312
2019/4/1,Hartford,CT,-1685
2019/4/1,Denver,CO,-4107
2019/4/1,Chicago,IL,-4669
2019/4/1,Washington,DC,-7985
2019/4/1,Los Angeles,CA,-16103
2019/4/1,San Jose,CA,-28190
2019/4/1,New York,NY,-35855
2019/7/1,Boston,MA,6985
2019/7/1,Sacramento,CA,6896
2019/7/1,Phoenix,AZ,6182
2019/7/1,Las Vegas,NV,5938
2019/7/1,Atlanta,GA,5827
2019/7/1,Austin,TX,4767
2019/7/1,Dallas,TX,3475
2019/7/1,Tampa,FL,3218
2019/7/1,San Diego,CA,3043
2019/7/1,Charlotte,NC,2848
2019/7/1,Portland,OR,2454
2019/7/1,Miami,FL,2389
2019/7/1,Raleigh,NC,2364
2019/7/1,Nashville,TN,2167
2019/7/1,Orlando,FL,1841
2019/7/1,Bend,OR,1826
2019/7/1,San Antonio,TX,1820
2019/7/1,Portland,ME,1819
2019/7/1,Cape Coral,FL,1736
2019/7/1,North Port,FL,1429
2019/7/1,Boise City,ID,1426
2019/7/1,Jacksonville,FL,1239
2019/7/1,Reno,NV,1036
2019/7/1,Wenatchee,WA,1004
2019/7/1,San Luis Obispo,CA,995
2019/7/1,Salisbury,MD,967
2019/7/1,Charleston,SC,947
2019/7/1,Philadelphia,PA,878
2019/7/1,Tucson,AZ,862
2019/7/1,Salt Lake City,UT,806
2019/7/1,Urban Honolulu,HI,805
2019/7/1,Minneapolis,MN,696
2019/7/1,Bellingham,WA,659
2019/7/1,Bakersfield,CA,613
2019/7/1,Albuquerque,NM,580
2019/7/1,Kahului,HI,576
2019/7/1,Pittsburgh,PA,560
2019/7/1,New Orleans,LA,545
2019/7/1,Grand Rapids,MI,534
2019/7/1,Virginia Beach,VA,531
2019/7/1,Fort Collins,CO,520
2019/7/1,Colorado Springs,CO,511
2019/7/1,Cleveland,OH,477
2019/7/1,Greensboro,NC,448
2019/7/1,Myrtle Beach,SC,441
2019/7/1,Spokane,WA,427
2019/7/1,Salinas,CA,415
2019/7/1,Allentown,PA,368
2019/7/1,Kansas City,MO,356
2019/7/1,Madison,WI,312
2019/7/1,St. Louis,MO,312
2019/7/1,Memphis,TN,307
2019/7/1,Asheville,NC,306
2019/7/1,Harrisburg,PA,295
2019/7/1,Rochester,NY,221
2019/7/1,Columbia,SC,218
2019/7/1,Oklahoma City,OK,201
2019/7/1,Columbus,OH,193
2019/7/1,Fresno,CA,187
2019/7/1,Greenville,SC,185
2019/7/1,Knoxville,TN,147
2019/7/1,Albany,NY,106
2019/7/1,Corpus Christi,TX,86
2019/7/1,Birmingham,AL,79
2019/7/1,Cincinnati,OH,56
2019/7/1,Clarksville,TN,44
2019/7/1,Syracuse,NY,43
2019/7/1,Tulsa,OK,41
2019/7/1,Little Rock,AR,23
2019/7/1,Kalamazoo,MI,19
2019/7/1,Baton Rouge,LA,6
2019/7/1,El Paso,TX,-1
2019/7/1,Burlington,VT,-6
2019/7/1,Louisville,KY,-33
2019/7/1,Buffalo,NY,-37
2019/7/1,Dayton,OH,-66
2019/7/1,Lexington,KY,-85
2019/7/1,Santa Maria,CA,-93
2019/7/1,Omaha,NE,-148
2019/7/1,South Bend,IN,-182
2019/7/1,Des Moines,IA,-185
2019/7/1,Richmond,VA,-237
2019/7/1,McAllen,TX,-258
2019/7/1,Chico,CA,-299
2019/7/1,Indianapolis,IN,-316
2019/7/1,Eugene,OR,-388
2019/7/1,Rockford,IL,-405
2019/7/1,Detroit,MI,-425
2019/7/1,Champaign,IL,-430
2019/7/1,Houston,TX,-836
2019/7/1,Milwaukee,WI,-1239
2019/7/1,Seattle,WA,-1336
2019/7/1,Hartford,CT,-1410
2019/7/1,Denver,CO,-3241
2019/7/1,Chicago,IL,-3974
2019/7/1,Washington,DC,-8681
2019/7/1,Los Angeles,CA,-17176
2019/7/1,San Jose,CA,-26988
2019/7/1,New York,NY,-35120
2019/10/1,Phoenix,AZ,6509
2019/10/1,Sacramento,CA,5675
2019/10/1,Las Vegas,NV,5660
2019/10/1,Atlanta,GA,5377
2019/10/1,Austin,TX,4038
2019/10/1,Dallas,TX,3420
2019/10/1,Portland,OR,3402
2019/10/1,Tampa,FL,2904
2019/10/1,Boston,MA,2874
2019/10/1,Nashville,TN,2864
2019/10/1,Charlotte,NC,2489
2019/10/1,San Diego,CA,2347
2019/10/1,Raleigh,NC,2138
2019/10/1,Cape Coral,FL,1852
2019/10/1,Orlando,FL,1841
2019/10/1,Miami,FL,1696
2019/10/1,Seattle,WA,1576
2019/10/1,Bend,OR,1489
2019/10/1,San Antonio,TX,1468
2019/10/1,North Port,FL,1333
2019/10/1,Portland,ME,1167
2019/10/1,Boise City,ID,1096
2019/10/1,Jacksonville,FL,1064
2019/10/1,Reno,NV,997
2019/10/1,Tucson,AZ,857
2019/10/1,Salt Lake City,UT,834
2019/10/1,Urban Honolulu,HI,807
2019/10/1,San Luis Obispo,CA,799
2019/10/1,Charleston,SC,789
2019/10/1,Philadelphia,PA,745
2019/10/1,Albuquerque,NM,650
2019/10/1,Minneapolis,MN,622
2019/10/1,Kahului,HI,596
2019/10/1,New Orleans,LA,566
2019/10/1,Bakersfield,CA,545
2019/10/1,Cleveland,OH,544
2019/10/1,Pittsburgh,PA,492
2019/10/1,Virginia Beach,VA,475
2019/10/1,Kansas City,MO,449
2019/10/1,Salisbury,MD,429
2019/10/1,Grand Rapids,MI,411
2019/10/1,Myrtle Beach,SC,383
2019/10/1,Allentown,PA,377
2019/10/1,Greensboro,NC,374
2019/10/1,Fort Collins,CO,353
2019/10/1,Spokane,WA,350
2019/10/1,Salinas,CA,339
2019/10/1,St. Louis,MO,333
2019/10/1,Colorado Springs,CO,315
2019/10/1,Buffalo,NY,288
2019/10/1,Columbus,OH,256
2019/10/1,Harrisburg,PA,250
2019/10/1,Madison,WI,237
2019/10/1,Fresno,CA,215
2019/10/1,Memphis,TN,180
2019/10/1,Oklahoma City,OK,174
2019/10/1,Asheville,NC,173
2019/10/1,Greenville,SC,147
2019/10/1,Rochester,NY,132
2019/10/1,Louisville,KY,98
2019/10/1,Albany,NY,95
2019/10/1,Syracuse,NY,78
2019/10/1,Birmingham,AL,72
2019/10/1,Columbia,SC,64
2019/10/1,Tulsa,OK,58
2019/10/1,Knoxville,TN,55
2019/10/1,Cincinnati,OH,40
2019/10/1,Kalamazoo,MI,20
2019/10/1,Little Rock,AR,17
2019/10/1,Clarksville,TN,6
2019/10/1,Burlington,VT,-10
2019/10/1,Bellingham,WA,-11
2019/10/1,Baton Rouge,LA,-26
2019/10/1,El Paso,TX,-40
2019/10/1,Santa Maria,CA,-50
2019/10/1,Lexington,KY,-52
2019/10/1,Dayton,OH,-97
2019/10/1,Des Moines,IA,-113
2019/10/1,Omaha,NE,-113
2019/10/1,Richmond,VA,-164
2019/10/1,Chico,CA,-208
2019/10/1,McAllen,TX,-236
2019/10/1,Eugene,OR,-366
2019/10/1,Champaign,IL,-426
2019/10/1,Rockford,IL,-426
2019/10/1,South Bend,IN,-430
2019/10/1,Indianapolis,IN,-481
2019/10/1,Detroit,MI,-524
2019/10/1,Houston,TX,-558
2019/10/1,Milwaukee,WI,-1030
2019/10/1,Hartford,CT,-1323
2019/10/1,Denver,CO,-3004
2019/10/1,Chicago,IL,-3616
2019/10/1,Washington,DC,-6339
2019/10/1,Los Angeles,CA,-16271
2019/10/1,New York,NY,-28500
2019/10/1,San Jose,CA,-28560
2020/1/1,New York,NY,-31852
2020/1/1,San Jose,CA,-27624
2020/1/1,Los Angeles,CA,-16525
2020/1/1,Washington,DC,-7363
2020/1/1,Chicago,IL,-3978
2020/1/1,Seattle,WA,-3890
2020/1/1,Denver,CO,-3623
2020/1/1,Milwaukee,WI,-1357
2020/1/1,Detroit,MI,-805
2020/1/1,South Bend,IN,-767
2020/1/1,Rockford,IL,-666
2020/1/1,Indianapolis,IN,-655
2020/1/1,Bellingham,WA,-608
2020/1/1,Champaign,IL,-581
2020/1/1,Eugene,OR,-581
2020/1/1,Boston,MA,-540
2020/1/1,Hartford,CT,-441
2020/1/1,Richmond,VA,-369
2020/1/1,Houston,TX,-333
2020/1/1,Chico,CA,-294
2020/1/1,McAllen,TX,-263
2020/1/1,Omaha,NE,-142
2020/1/1,Youngstown,OH,-128
2020/1/1,Santa Maria,CA,-112
2020/1/1,Des Moines,IA,-110
2020/1/1,Dayton,OH,-101
2020/1/1,Killeen,TX,-91
2020/1/1,Lexington,KY,-83
2020/1/1,Colorado Springs,CO,-47
2020/1/1,El Paso,TX,-40
2020/1/1,Burlington,VT,-36
2020/1/1,Fayetteville,NC,-36
2020/1/1,Lancaster,PA,-15
2020/1/1,Baton Rouge,LA,-9
2020/1/1,Clarksville,TN,-2
2020/1/1,Little Rock,AR,36
2020/1/1,Kalamazoo,MI,37
2020/1/1,Palm Bay,FL,38
2020/1/1,Tulsa,OK,59
2020/1/1,Cincinnati,OH,79
2020/1/1,Knoxville,TN,94
2020/1/1,Syracuse,NY,113
2020/1/1,Birmingham,AL,143
2020/1/1,Madison,WI,151
2020/1/1,Albany,NY,154
2020/1/1,Rochester,NY,166
2020/1/1,Asheville,NC,197
2020/1/1,Columbus,OH,200
2020/1/1,Louisville,KY,243
2020/1/1,Memphis,TN,247
2020/1/1,Greenville,SC,248
2020/1/1,Oklahoma City,OK,250
2020/1/1,Harrisburg,PA,267
2020/1/1,Columbia,SC,268
2020/1/1,Salinas,CA,310
2020/1/1,Buffalo,NY,314
2020/1/1,Allentown,PA,320
2020/1/1,St. Louis,MO,329
2020/1/1,Pittsburgh,PA,384
2020/1/1,Kansas City,MO,394
2020/1/1,Fresno,CA,407
2020/1/1,Grand Rapids,MI,413
2020/1/1,Salisbury,MD,424
2020/1/1,Myrtle Beach,SC,426
2020/1/1,Spokane,WA,428
2020/1/1,Fort Collins,CO,441
2020/1/1,Minneapolis,MN,473
2020/1/1,Greensboro,NC,520
2020/1/1,Virginia Beach,VA,535
2020/1/1,Cleveland,OH,566
2020/1/1,Albuquerque,NM,598
2020/1/1,Kahului,HI,715
2020/1/1,New Orleans,LA,734
2020/1/1,Salt Lake City,UT,750
2020/1/1,Bakersfield,CA,785
2020/1/1,Urban Honolulu,HI,799
2020/1/1,Wenatchee,WA,812
2020/1/1,San Luis Obispo,CA,946
2020/1/1,Philadelphia,PA,953
2020/1/1,Charleston,SC,989
2020/1/1,Reno,NV,1000
2020/1/1,Boise City,ID,1069
2020/1/1,Tucson,AZ,1203
2020/1/1,Portland,ME,1284
2020/1/1,Jacksonville,FL,1452
2020/1/1,Bend,OR,1635
2020/1/1,North Port,FL,1776
2020/1/1,San Antonio,TX,1856
2020/1/1,Portland,OR,1858
2020/1/1,San Diego,CA,2463
2020/1/1,Orlando,FL,2505
2020/1/1,Raleigh,NC,2563
2020/1/1,Cape Coral,FL,2761
2020/1/1,Miami,FL,2883
2020/1/1,Charlotte,NC,3062
2020/1/1,Nashville,TN,3477
2020/1/1,Tampa,FL,4089
2020/1/1,Dallas,TX,4509
2020/1/1,Austin,TX,5013
2020/1/1,Sacramento,CA,5813
2020/1/1,Atlanta,GA,6181
2020/1/1,Las Vegas,NV,6821
2020/1/1,Phoenix,AZ,8847
2020/4/1,New York,NY,-33963
2020/4/1,San Jose,CA,-31788
2020/4/1,Los Angeles,CA,-17041
2020/4/1,Washington,DC,-10550
2020/4/1,Chicago,IL,-6697
2020/4/1,Seattle,WA,-6007
2020/4/1,Denver,CO,-4943
2020/4/1,Boston,MA,-2864
2020/4/1,Milwaukee,WI,-1553
2020/4/1,Rockford,IL,-911
2020/4/1,Detroit,MI,-905
2020/4/1,Bellingham,WA,-807
2020/4/1,Champaign,IL,-734
2020/4/1,Indianapolis,IN,-734
2020/4/1,South Bend,IN,-724
2020/4/1,Hartford,CT,-697
2020/4/1,Eugene,OR,-684
2020/4/1,Chico,CA,-467
2020/4/1,Richmond,VA,-406
2020/4/1,Fayetteville,NC,-395
2020/4/1,Visalia,CA,-309
2020/4/1,McAllen,TX,-288
2020/4/1,Lansing,MI,-262
2020/4/1,Omaha,NE,-238
2020/4/1,Colorado Springs,CO,-237
2020/4/1,Des Moines,IA,-133
2020/4/1,Dayton,OH,-113
2020/4/1,Cincinnati,OH,-75
2020/4/1,Youngstown,OH,-75
2020/4/1,Lancaster,PA,-68
2020/4/1,Lexington,KY,-60
2020/4/1,Santa Maria,CA,-54
2020/4/1,Killeen,TX,-43
2020/4/1,Baton Rouge,LA,-20
2020/4/1,Burlington,VT,-6
2020/4/1,El Paso,TX,1
2020/4/1,Appleton,WI,4
2020/4/1,Kalamazoo,MI,26
2020/4/1,Clarksville,TN,32
2020/4/1,Syracuse,NY,61
2020/4/1,Chattanooga,TN,62
2020/4/1,Tulsa,OK,62
2020/4/1,Rochester,NY,69
2020/4/1,Huntsville,AL,73
2020/4/1,Little Rock,AR,73
2020/4/1,Corpus Christi,TX,111
2020/4/1,Columbus,OH,120
2020/4/1,Albany,NY,128
2020/4/1,Birmingham,AL,133
2020/4/1,Pittsburgh,PA,161
2020/4/1,Harrisburg,PA,189
2020/4/1,Louisville,KY,239
2020/4/1,Allentown,PA,243
2020/4/1,Memphis,TN,256
2020/4/1,Columbia,SC,262
2020/4/1,Buffalo,NY,264
2020/4/1,Oklahoma City,OK,273
2020/4/1,Palm Bay,FL,275
2020/4/1,Madison,WI,292
2020/4/1,Houston,TX,293
2020/4/1,Salinas,CA,341
2020/4/1,Fresno,CA,355
2020/4/1,Knoxville,TN,383
2020/4/1,St. Louis,MO,442
2020/4/1,Grand Rapids,MI,474
2020/4/1,Asheville,NC,476
2020/4/1,Greensboro,NC,520
2020/4/1,Cleveland,OH,538
2020/4/1,Kansas City,MO,548
2020/4/1,Greenville,SC,588
2020/4/1,Minneapolis,MN,588
2020/4/1,Fort Collins,CO,648
2020/4/1,Albuquerque,NM,696
2020/4/1,Kahului,HI,767
2020/4/1,New Orleans,LA,768
2020/4/1,San Diego,CA,784
2020/4/1,Spokane,WA,792
2020/4/1,Myrtle Beach,SC,855
2020/4/1,Reno,NV,930
2020/4/1,Virginia Beach,VA,932
2020/4/1,Urban Honolulu,HI,941
2020/4/1,Tucson,AZ,985
2020/4/1,Salisbury,MD,1057
2020/4/1,Philadelphia,PA,1119
2020/4/1,Bakersfield,CA,1163
2020/4/1,Salt Lake City,UT,1195
2020/4/1,San Luis Obispo,CA,1319
2020/4/1,Charleston,SC,1434
2020/4/1,Wenatchee,WA,1574
2020/4/1,Jacksonville,FL,1767
2020/4/1,Boise City,ID,1806
2020/4/1,Portland,OR,1820
2020/4/1,Portland,ME,1861
2020/4/1,North Port,FL,2159
2020/4/1,Bend,OR,2160
2020/4/1,San Antonio,TX,2447
2020/4/1,Cape Coral,FL,2775
2020/4/1,Orlando,FL,2776
2020/4/1,Raleigh,NC,2980
2020/4/1,Charlotte,NC,3380
2020/4/1,Nashville,TN,3616
2020/4/1,Miami,FL,4279
2020/4/1,Tampa,FL,4955
2020/4/1,Dallas,TX,5605
2020/4/1,Atlanta,GA,6680
2020/4/1,Austin,TX,6770
2020/4/1,Las Vegas,NV,7136
2020/4/1,Sacramento,CA,8935
2020/4/1,Phoenix,AZ,9428
2020/7/1,New York,NY,-48175
2020/7/1,San Jose,CA,-43592
2020/7/1,Los Angeles,CA,-23727
2020/7/1,Washington,DC,-14180
2020/7/1,Chicago,IL,-6257
2020/7/1,Denver,CO,-5825
2020/7/1,Seattle,WA,-4190
2020/7/1,Milwaukee,WI,-2595
2020/7/1,Indianapolis,IN,-1630
2020/7/1,Rockford,IL,-1044
2020/7/1,San Diego,CA,-928
2020/7/1,Detroit,MI,-897
2020/7/1,Champaign,IL,-863
2020/7/1,Chico,CA,-718
2020/7/1,Hartford,CT,-613
2020/7/1,Houston,TX,-596
2020/7/1,Richmond,VA,-588
2020/7/1,Fayetteville,NC,-532
2020/7/1,Eugene,OR,-498
2020/7/1,Lansing,MI,-352
2020/7/1,McAllen,TX,-351
2020/7/1,South Bend,IN,-272
2020/7/1,Des Moines,IA,-221
2020/7/1,Youngstown,OH,-166
2020/7/1,Visalia,CA,-164
2020/7/1,Omaha,NE,-160
2020/7/1,Bellingham,WA,-130
2020/7/1,Lexington,KY,-90
2020/7/1,Dayton,OH,-78
2020/7/1,Baton Rouge,LA,-42
2020/7/1,Killeen,TX,-23
2020/7/1,Appleton,WI,-2
2020/7/1,Lancaster,PA,0
2020/7/1,Clarksville,TN,8
2020/7/1,Cincinnati,OH,60
2020/7/1,Kalamazoo,MI,72
2020/7/1,Chattanooga,TN,100
2020/7/1,Huntsville,AL,120
2020/7/1,Little Rock,AR,131
2020/7/1,Corpus Christi,TX,142
2020/7/1,Syracuse,NY,165
2020/7/1,Harrisburg,PA,174
2020/7/1,El Paso,TX,180
2020/7/1,Burlington,VT,185
2020/7/1,Birmingham,AL,186
2020/7/1,Savannah,GA,194
2020/7/1,Tulsa,OK,209
2020/7/1,Rochester,NY,217
2020/7/1,Louisville,KY,249
2020/7/1,Crestview,FL,262
2020/7/1,Tucson,AZ,323
2020/7/1,Fresno,CA,325
2020/7/1,Columbia,SC,347
2020/7/1,Albany,NY,350
2020/7/1,Columbus,OH,365
2020/7/1,Madison,WI,366
2020/7/1,Memphis,TN,370
2020/7/1,Santa Maria,CA,382
2020/7/1,Colorado Springs,CO,392
2020/7/1,Palm Bay,FL,418
2020/7/1,Boston,MA,425
2020/7/1,Oklahoma City,OK,450
2020/7/1,Pittsburgh,PA,504
2020/7/1,St. Louis,MO,530
2020/7/1,Buffalo,NY,555
2020/7/1,Knoxville,TN,590
2020/7/1,Allentown,PA,592
2020/7/1,Salinas,CA,688
2020/7/1,Greensboro,NC,746
2020/7/1,Cleveland,OH,826
2020/7/1,New Orleans,LA,839
2020/7/1,Grand Rapids,MI,862
2020/7/1,Greenville,SC,899
2020/7/1,Minneapolis,MN,929
2020/7/1,Albuquerque,NM,962
2020/7/1,Spokane,WA,968
2020/7/1,Kahului,HI,994
2020/7/1,Fort Collins,CO,995
2020/7/1,Kansas City,MO,1052
2020/7/1,Asheville,NC,1164
2020/7/1,Reno,NV,1191
2020/7/1,Myrtle Beach,SC,1244
2020/7/1,Urban Honolulu,HI,1312
2020/7/1,Bakersfield,CA,1480
2020/7/1,Virginia Beach,VA,1494
2020/7/1,Charleston,SC,1606
2020/7/1,San Luis Obispo,CA,1782
2020/7/1,Jacksonville,FL,2024
2020/7/1,Wenatchee,WA,2220
2020/7/1,Salt Lake City,UT,2412
2020/7/1,Salisbury,MD,2539
2020/7/1,Philadelphia,PA,2549
2020/7/1,North Port,FL,2893
2020/7/1,San Antonio,TX,2935
2020/7/1,Boise City,ID,3180
2020/7/1,Portland,OR,3191
2020/7/1,Bend,OR,3364
2020/7/1,Portland,ME,3449
2020/7/1,Orlando,FL,3565
2020/7/1,Cape Coral,FL,3583
2020/7/1,Raleigh,NC,3740
2020/7/1,Miami,FL,3889
2020/7/1,Charlotte,NC,4071
2020/7/1,Tampa,FL,4896
2020/7/1,Nashville,TN,4990
2020/7/1,Dallas,TX,6620
2020/7/1,Atlanta,GA,7236
2020/7/1,Phoenix,AZ,8339
2020/7/1,Las Vegas,NV,8465
2020/7/1,Austin,TX,8599
2020/7/1,Sacramento,CA,11837
2020/10/1,New York,NY,-43765
2020/10/1,San Jose,CA,-41741
2020/10/1,Los Angeles,CA,-24139
2020/10/1,Washington,DC,-12417
2020/10/1,Chicago,IL,-6163
2020/10/1,Denver,CO,-5993
2020/10/1,Seattle,WA,-3087
2020/10/1,Milwaukee,WI,-2919
2020/10/1,San Diego,CA,-2847
2020/10/1,Indianapolis,IN,-1748
2020/10/1,Boston,MA,-1113
2020/10/1,Detroit,MI,-1052
2020/10/1,Champaign,IL,-867
2020/10/1,Rockford,IL,-844
2020/10/1,South Bend,IN,-724
2020/10/1,Chico,CA,-654
2020/10/1,Bellingham,WA,-624
2020/10/1,Spokane,WA,-603
2020/10/1,Eugene,OR,-585
2020/10/1,Richmond,VA,-507
2020/10/1,Hartford,CT,-460
2020/10/1,Fayetteville,NC,-427
2020/10/1,McAllen,TX,-306
2020/10/1,Lansing,MI,-283
2020/10/1,Des Moines,IA,-194
2020/10/1,Omaha,NE,-155
2020/10/1,Lexington,KY,-145
2020/10/1,Youngstown,OH,-134
2020/10/1,Baton Rouge,LA,-123
2020/10/1,Cincinnati,OH,-44
2020/10/1,Appleton,WI,-40
2020/10/1,Killeen,TX,-34
2020/10/1,Corpus Christi,TX,-14
2020/10/1,Lancaster,PA,-4
2020/10/1,Clarksville,TN,-2
2020/10/1,Santa Maria,CA,9
2020/10/1,Dayton,OH,16
2020/10/1,Syracuse,NY,79
2020/10/1,Kalamazoo,MI,97
2020/10/1,Chattanooga,TN,101
2020/10/1,Burlington,VT,112
2020/10/1,Little Rock,AR,125
2020/10/1,Huntsville,AL,138
2020/10/1,Tulsa,OK,184
2020/10/1,Birmingham,AL,191
2020/10/1,El Paso,TX,217
2020/10/1,Rochester,NY,218
2020/10/1,Savannah,GA,231
2020/10/1,Crestview,FL,234
2020/10/1,Harrisburg,PA,257
2020/10/1,Madison,WI,266
2020/10/1,Fresno,CA,275
2020/10/1,Louisville,KY,277
2020/10/1,Columbia,SC,302
2020/10/1,Tucson,AZ,329
2020/10/1,Palm Bay,FL,332
2020/10/1,Oklahoma City,OK,361
2020/10/1,Columbus,OH,420
2020/10/1,Colorado Springs,CO,432
2020/10/1,Allentown,PA,437
2020/10/1,Albany,NY,439
2020/10/1,Salinas,CA,447
2020/10/1,Buffalo,NY,486
2020/10/1,Pittsburgh,PA,510
2020/10/1,Greensboro,NC,526
2020/10/1,Houston,TX,587
2020/10/1,Knoxville,TN,588
2020/10/1,St. Louis,MO,617
2020/10/1,Grand Rapids,MI,655
2020/10/1,Fort Collins,CO,658
2020/10/1,Asheville,NC,794
2020/10/1,New Orleans,LA,797
2020/10/1,Greenville,SC,804
2020/10/1,Minneapolis,MN,928
2020/10/1,Albuquerque,NM,964
2020/10/1,Memphis,TN,979
2020/10/1,Kahului,HI,1009
2020/10/1,Kansas City,MO,1107
2020/10/1,Cleveland,OH,1125
2020/10/1,Reno,NV,1137
2020/10/1,Myrtle Beach,SC,1150
2020/10/1,San Luis Obispo,CA,1325
2020/10/1,Bakersfield,CA,1342
2020/10/1,Virginia Beach,VA,1418
2020/10/1,Urban Honolulu,HI,1441
2020/10/1,Charleston,SC,1481
2020/10/1,Wenatchee,WA,1546
2020/10/1,Salisbury,MD,1599
2020/10/1,Jacksonville,FL,2019
2020/10/1,Portland,OR,2259
2020/10/1,Bend,OR,2421
2020/10/1,Salt Lake City,UT,2446
2020/10/1,Boise City,ID,2622
2020/10/1,Philadelphia,PA,2701
2020/10/1,San Antonio,TX,2738
2020/10/1,Portland,ME,2784
2020/10/1,Raleigh,NC,3005
2020/10/1,North Port,FL,3016
2020/10/1,Orlando,FL,3617
2020/10/1,Charlotte,NC,3840
2020/10/1,Miami,FL,4204
2020/10/1,Cape Coral,FL,4241
2020/10/1,Tampa,FL,4933
2020/10/1,Nashville,TN,5514
2020/10/1,Atlanta,GA,7753
2020/10/1,Dallas,TX,8017
2020/10/1,Sacramento,CA,9283
2020/10/1,Phoenix,AZ,9414
2020/10/1,Las Vegas,NV,9467
2020/10/1,Austin,TX,10268
2021/1/1,New York,NY,-48416
2021/1/1,San Jose,CA,-40562
2021/1/1,Los Angeles,CA,-28115
2021/1/1,Washington,DC,-16570
2021/1/1,Seattle,WA,-9770
2021/1/1,Chicago,IL,-8713
2021/1/1,Denver,CO,-8403
2021/1/1,Boston,MA,-4629
2021/1/1,Milwaukee,WI,-3155
2021/1/1,Indianapolis,IN,-2363
2021/1/1,Detroit,MI,-1976
2021/1/1,Spokane,WA,-1244
2021/1/1,South Bend,IN,-1241
2021/1/1,Bellingham,WA,-1148
2021/1/1,Rockford,IL,-983
2021/1/1,Champaign,IL,-914
2021/1/1,Eugene,OR,-757
2021/1/1,Chico,CA,-727
2021/1/1,Kennewick,WA,-561
2021/1/1,Fayetteville,NC,-521
2021/1/1,Richmond,VA,-511
2021/1/1,Des Moines,IA,-360
2021/1/1,McAllen,TX,-323
2021/1/1,Lansing,MI,-302
2021/1/1,Beaumont,TX,-297
2021/1/1,Lexington,KY,-258
2021/1/1,Hartford,CT,-214
2021/1/1,Greensboro,NC,-207
2021/1/1,Omaha,NE,-177
2021/1/1,Youngstown,OH,-162
2021/1/1,Cincinnati,OH,-138
2021/1/1,Baton Rouge,LA,-123
2021/1/1,Santa Maria,CA,-68
2021/1/1,Appleton,WI,-64
2021/1/1,Lancaster,PA,-21
2021/1/1,Dayton,OH,-15
2021/1/1,Anchorage,AK,-13
2021/1/1,Corpus Christi,TX,17
2021/1/1,Clarksville,TN,28
2021/1/1,Harrisburg,PA,42
2021/1/1,Syracuse,NY,89
2021/1/1,Rochester,NY,91
2021/1/1,Kalamazoo,MI,92
2021/1/1,Burlington,VT,105
2021/1/1,Killeen,TX,107
2021/1/1,Louisville,KY,121
2021/1/1,Green Bay,WI,139
2021/1/1,Colorado Springs,CO,166
2021/1/1,Little Rock,AR,205
2021/1/1,Huntsville,AL,211
2021/1/1,Chattanooga,TN,232
2021/1/1,Birmingham,AL,237
2021/1/1,Madison,WI,245
2021/1/1,El Paso,TX,275
2021/1/1,Salinas,CA,281
2021/1/1,Tulsa,OK,294
2021/1/1,Columbus,OH,303
2021/1/1,Savannah,GA,341
2021/1/1,Memphis,TN,342
2021/1/1,Allentown,PA,348
2021/1/1,Crestview,FL,376
2021/1/1,Albany,NY,382
2021/1/1,Fresno,CA,395
2021/1/1,Buffalo,NY,401
2021/1/1,Columbia,SC,454
